week,date,txrh,cake,cbrl,blmn,bjri,stks,spy,beef,beef_116,pork_123a,pork,beef_cutout,pork_cutout,beef_live_price,pork_live_price,cut_112a,cut_180,cut_184,cut_189a,cut_120,cut_193,beef_slaughter,pork_slaughter,beef_production,pork_production,beef_export_korea,pork_export_korea
2009-W49,2009-11-30,8.11,14.91,20.21,,17.33,,82.4,,,,,,,,,,,,,,,,,,,,
2009-W50,2009-12-07,8.21,15.53,20.14,,17.17,,82.48,,,,,,,,,,,,,,,,,,,,
2009-W51,2009-12-14,8.64,16.58,20.72,,18.51,,82.25,,,,,,,,,,,,,,,,,,,,
2009-W52,2009-12-21,8.97,17.22,21.17,,18.3,,83.94,,,,,,,,,,,,,,,,,,,,
2009-W53,2010-01-02,8.52,16.52,20.4,,18.32,,83.17,277.18,4.08,5.2,149.01,,,,,,,,,,,,,,,,
2010-W01,2010-01-09,8.33,16.39,20.27,,20.09,,85.5,281.93,4.18,5.32,152.44,,,,,,,,,,,,,,,,
2010-W02,2010-01-16,8.55,17.17,20.91,,21.54,,84.81,288.16,4.35,5.52,159.92,,,,,,,,,,,,,,,,
2010-W03,2010-01-23,8.96,16.28,21.75,,21.36,,81.5,288.97,4.06,5.58,169.42,,,,,,,,,,,,,,,,
2010-W04,2010-01-30,8.82,16.17,19.96,,20.57,,80.15,284.13,3.91,5.54,156.9,,,,,,,,,,,,,,,,
2010-W05,2010-02-06,9.24,16.26,19.84,,19.85,,79.6,280.48,3.9,5.67,150.9,,,,,,,,,,,,,,,,
2010-W06,2010-02-13,9.54,18.08,20.83,,20.2,,80.63,282.26,3.9,5.72,150.63,,,,,,,,,,,,,,,,
2010-W07,2010-02-20,9.91,18.09,21.52,,20.89,,82.94,291.94,4.11,5.71,152.33,,,,,,,,,,,,,,,,
2010-W08,2010-02-27,10.19,18.09,23.58,,20.82,,82.65,300.12,4.08,5.92,158.75,,,,,,,,,,,,,,,,
2010-W09,2010-03-06,10.72,19.67,24.03,,21.41,,85.27,301.18,4.1,5.84,164.85,,,,,,,,,,,,,,,,
2010-W10,2010-03-13,10.73,20.58,24.72,,23.47,,86.17,300.39,3.83,5.84,163.35,,,,,,,,,,,,,,,,
2010-W11,2010-03-20,10.66,20.76,25.48,,23.05,,86.91,307.89,3.99,5.94,162.05,,,,,,,,,,,,,,,,
2010-W12,2010-03-27,10.66,20.91,24.78,,23.26,,87.36,322.34,4.2,6.41,159.26,,,,,,,,,,,,,,,,
2010-W13,2010-04-03,10.56,20.77,25.3,,22.43,,88.28,323.73,4.03,6.47,161.15,,,,,,,,,,,,,,,,
2010-W14,2010-04-10,11.39,21.56,27.07,,23.74,,89.59,329.56,4.06,6.66,170.54,,,,,,,,,,,,,,,,
2010-W15,2010-04-17,11.7,21.98,27.78,,25.32,,89.45,334.73,4.08,6.79,182.2,,,,,,,,,,,,,,,,
2010-W16,2010-04-24,12.1,22.62,28.27,,26.79,,91.28,334.42,4.08,6.9,194.72,,,,,,,,,,,,,,,,
2010-W17,2010-05-01,11.21,20.78,26.76,,23.48,,89.03,336.71,4.12,7.15,197.93,,,,,,,,,,,,,,,,
2010-W18,2010-05-08,10.36,19.27,25.25,,21.95,,83.38,337.37,4.16,7.28,198.0,,,,,,,,,,,,,,,,
2010-W19,2010-05-15,11.19,20.59,27.86,,22.73,,85.35,339.15,4.29,7.53,199.98,,,,,,,,,,,,,,,,
2010-W20,2010-05-22,10.57,19.43,26.47,,22.46,,81.76,334.73,4.42,7.72,194.59,,,,,,,,,,,,,,,,
2010-W21,2010-05-29,11.07,19.51,27.01,,22.56,,81.96,326.48,4.46,7.75,192.43,,,,,,,,,,,,,,,,
2010-W22,2010-06-05,10.81,19.02,26.43,,22.92,,80.05,321.73,4.44,7.92,188.74,,,,,,,,,,,,,,,,
2010-W23,2010-06-12,10.6,19.14,26.59,,23.37,,82.19,316.76,4.23,8.1,184.18,,,,,,,,,,,,,,,,
2010-W24,2010-06-19,11.16,19.5,27.37,,24.94,,84.13,309.36,4.1,8.17,181.87,,,,,,,,,,,,,,,,
2010-W25,2010-06-26,10.12,17.95,25.69,,23.73,,81.22,301.93,4.11,8.16,184.98,,,,,,,,,,,,,,,,
2010-W26,2010-07-03,9.48,16.95,25.1,,22.09,,76.95,308.04,4.03,8.21,181.63,,,,,,,,,,,,,,,,
2010-W27,2010-07-10,9.75,18.94,26.0,,22.56,,81.29,308.59,3.96,8.21,181.28,,,,,,,,,,,,,,,,
2010-W28,2010-07-17,9.57,18.52,25.6,,23.15,,80.31,309.69,3.92,7.99,179.87,,,,,,,,,,,,,,,,
2010-W29,2010-07-24,10.35,18.21,26.67,,24.8,,83.13,312.91,4.0,8.03,184.43,,,,,,,,,,,,,,,,
2010-W30,2010-07-31,10.22,17.93,26.66,,24.81,,83.03,312.38,4.06,7.47,194.55,,,,,,,,,,,,,,,,
2010-W31,2010-08-07,10.78,17.87,26.18,,24.87,,84.62,306.44,3.87,7.33,199.91,,,,,,,,,,,,,,,,
2010-W32,2010-08-14,9.94,16.85,24.84,,23.0,,81.55,309.56,3.97,6.81,196.53,,,,,,,,,,,,,,,,
2010-W33,2010-08-21,10.09,17.39,25.0,,23.62,,80.96,318.12,4.1,6.51,206.47,,,,,,,,,,,,,,,,
2010-W34,2010-08-28,10.33,17.62,24.6,,24.37,,80.46,328.92,4.27,6.52,208.98,,,,,,,,,,,,,,,,
2010-W35,2010-09-04,11.07,19.7,25.73,,26.74,,83.49,326.48,4.17,6.72,201.92,,,,,,,,,,,,,,,,
2010-W36,2010-09-11,10.74,19.65,26.12,,26.06,,83.94,321.99,4.0,6.46,198.84,,,,,,,,,,,,,,,,
2010-W37,2010-09-18,10.8,19.69,27.45,,26.06,,85.15,319.44,4.03,6.58,200.95,,,,,,,,,,,,,,,,
2010-W38,2010-09-25,10.64,20.12,27.51,,27.35,,86.92,319.95,4.18,6.82,199.76,,,,,,,,,,,,,,,,
2010-W39,2010-10-02,10.75,20.42,27.76,,27.7,,86.76,316.98,4.23,6.99,194.55,,,,,,,,,,,,,,,,
2010-W40,2010-10-09,11.39,21.37,28.42,,28.52,,88.22,311.52,4.24,6.91,184.23,,,,,,,,,,,,,,,,
2010-W41,2010-10-16,11.63,21.27,28.8,,28.13,,89.1,311.17,4.35,7.09,180.31,,,,,,,,,,,,,,,,
2010-W42,2010-10-23,11.98,22.34,29.29,,33.02,,89.59,322.63,4.76,7.59,170.54,,,,,,,,,,,,,,,,
2010-W43,2010-10-30,11.67,22.28,29.45,,32.26,,89.69,329.08,4.94,7.72,163.31,,,,,,,,,,,,,,,,
2010-W44,2010-11-06,12.18,22.8,30.32,,33.71,,92.9,323.73,4.89,7.79,169.31,,,,,,,,,,,,,,,,
2010-W45,2010-11-13,12.09,22.5,30.03,,34.52,,90.99,319.37,4.71,7.9,168.59,,,,,,,,,,,,,,,,
2010-W46,2010-11-20,12.33,23.14,30.66,,34.22,,91.06,321.55,4.63,7.87,169.47,,,,,,,,,,,,,,,,
2010-W47,2010-11-27,12.92,24.45,29.45,,35.7,,89.93,325.91,4.67,7.62,173.65,,,,,,,,,,,,,,,,
2010-W48,2010-12-04,13.5,24.95,29.35,,37.12,,93.02,332.6,4.76,7.65,170.52,,,,,,,,,,,,,,,,
2010-W49,2010-12-11,13.7,25.49,30.02,,37.9,,94.23,335.59,4.74,7.58,171.82,,,,,,,,,,,,,,,,
2010-W50,2010-12-18,13.42,24.63,30.85,,37.08,,94.59,330.97,4.47,7.59,173.43,,,,,,,,,,,,,,,,
2010-W51,2010-12-25,13.24,23.79,30.9,,35.68,,95.58,326.83,4.37,7.49,170.74,,,,,,,,,,,,,,,,
2010-W52,2011-01-01,13.02,23.45,29.94,,34.47,,95.69,333.65,4.52,7.52,169.53,,,,,,,,,,,,,,,,
2011-W01,2011-01-08,13.17,23.73,29.79,,32.83,,96.75,341.48,4.67,7.5,171.58,,,,,,,,,,,,,,,,
2011-W02,2011-01-15,13.99,23.42,29.45,,34.07,,98.39,343.55,4.81,7.65,181.26,,,,,,,,,,,,,,,,
2011-W03,2011-01-22,13.31,23.35,28.55,,34.64,,97.68,351.01,4.97,7.77,188.14,,,,,,,,,,,,,,,,
2011-W04,2011-01-29,12.75,22.56,27.61,,34.12,,97.19,347.49,5.0,7.9,192.08,,,,,,,,,,,,,,,,
