issue,found,bytes,parsed
2020-01-01,1,820236,1
2020-01-08,1,804000,1
2020-01-15,1,826422,1
2020-01-22,1,2528781,1
2020-01-29,1,818872,1
2020-02-05,1,812621,1
2020-02-12,1,814652,1
2020-02-19,1,810941,1
2020-02-26,1,811546,1
2020-03-04,1,817789,1
2020-03-11,1,802392,1
2020-03-18,1,811877,1
2020-03-25,1,1273713,1
2020-03-31,1,827919,1
2020-04-01,0,0,0
2020-04-02,0,0,0
2020-04-08,1,814361,1
2020-04-15,1,1391553,1
2020-04-22,1,888033,1
2020-04-29,1,960515,1
2020-05-06,1,1116308,1
2020-05-13,1,1119580,1
2020-05-20,1,1577318,1
2020-05-27,1,1133227,1
2020-06-03,1,1131417,1
2020-06-10,1,1449101,1
2020-06-17,1,1576649,1
2020-06-24,1,1693224,1
2020-07-01,1,1140219,1
2020-07-08,1,1893132,1
2020-07-15,1,1582933,1
2020-07-22,1,1341409,1
2020-07-29,1,1142335,1
2020-08-05,1,1215446,1
2020-08-12,1,1124826,1
2020-08-19,1,1125563,1
2020-08-26,1,1137878,1
2020-09-02,1,1133420,1
2020-09-09,1,1126788,1
2020-09-16,1,1576288,1
2020-09-23,1,1135530,1
2020-09-30,1,2146581,1
2020-10-07,1,1155863,1
2020-10-14,1,1631995,1
2020-10-21,1,1141438,1
2020-10-28,1,1278319,1
2020-11-04,1,1142520,1
2020-11-11,1,1142970,1
2020-11-18,1,1598373,1
2020-11-25,1,1152390,1
2020-12-02,1,1156569,1
2020-12-09,1,1150030,1
2020-12-16,1,1605960,1
2020-12-23,1,1154473,1
2020-12-30,1,1227828,1
2021-01-01,0,0,0
2021-01-06,1,832720,1
2021-01-13,1,826877,1
2021-01-20,1,829224,1
2021-01-27,1,836481,1
2021-02-03,1,851274,1
2021-02-10,1,1094593,1
2021-02-17,1,966476,1
2021-02-24,1,834395,1
2021-03-03,1,1087134,1
2021-03-10,1,824410,1
2021-03-17,1,846544,1
2021-03-24,1,845064,1
2021-03-31,1,843005,1
2021-04-07,1,828851,1
2021-04-14,1,846687,1
2021-04-21,1,835387,1
2021-04-28,1,847841,1
2021-05-05,1,827849,1
2021-05-12,1,828008,1
2021-05-19,1,1269204,1
2021-05-26,1,845229,1
2021-06-02,1,1129731,1
2021-06-09,1,829325,1
2021-06-16,1,1276516,1
2021-06-23,1,830382,1
2021-06-30,1,1111700,1
2021-07-07,1,829033,1
2021-07-14,1,829206,1
2021-07-21,1,1283462,1
2021-07-28,1,892703,1
2021-08-04,1,840563,1
2021-08-11,1,982023,1
2021-08-18,1,1282061,1
2021-08-25,1,841594,1
2021-09-01,1,1312488,1
2021-09-08,1,833555,1
2021-09-15,1,1279297,1
2021-09-22,0,0,0
2021-09-23,1,839490,1
2021-09-29,1,848777,1
2021-10-06,1,829204,1
2021-10-13,1,850878,1
2021-10-20,1,1284216,1
2021-10-27,1,1256939,1
2021-11-03,1,1152307,1
2021-11-10,1,832035,1
2021-11-17,1,1284174,1
2021-11-24,1,836328,1
2021-12-01,1,2121031,1
2021-12-08,1,964200,1
2021-12-15,1,1289976,1
2021-12-22,1,828699,1
2021-12-29,1,835488,1
2022-01-05,1,981377,1
2022-01-12,1,842917,1
2022-01-19,1,1282480,1
2022-01-26,1,835842,1
2022-02-02,0,0,0
2022-02-03,1,970031,1
2022-02-09,1,829942,1
2022-02-16,1,1645984,1
2022-02-23,1,832544,1
2022-03-02,1,876158,1
2022-03-09,1,833483,1
2022-03-16,1,1282030,1
2022-03-23,1,971217,1
2022-03-30,1,852913,1
2022-04-06,1,835967,1
2022-04-13,1,1290754,1
2022-04-20,1,840535,1
2022-04-27,1,845013,1
2022-05-04,1,960031,1
2022-05-11,1,841408,1
2022-05-18,1,1285255,1
2022-05-25,1,838874,1
2022-06-01,1,969669,1
2022-06-08,1,832267,1
2022-06-15,1,1277599,1
2022-06-22,1,832443,1
2022-06-29,1,846063,1
2022-07-06,1,963554,1
2022-07-13,1,833653,1
2022-07-20,1,1281126,1
2022-07-27,1,1017317,1
2022-08-03,1,974033,1
2022-08-10,1,839557,1
2022-08-17,1,1280851,1
2022-08-24,1,1387080,1
2022-08-31,1,846092,1
2022-09-07,1,963124,1
2022-09-14,1,832057,1
2022-09-21,1,1280801,1
2022-09-28,1,846690,1
2022-10-05,1,838879,1
2022-10-12,1,1425730,1
2022-10-19,1,1305103,1
2022-10-26,1,839600,1
2022-11-02,1,843699,1
2022-11-09,1,971915,1
