week,species,metric,value,prev
2025-12-25,pork,export_korea,2800.0,
2025-12-25,pork,export_total,26140.0,
2026-01-03,beef,cutout,3.49,3.56
2026-01-03,beef,live_price,230.43,229.13
2026-01-03,beef,production,423700000.0,381200000.0
2026-01-03,beef,slaughter,474000.0,426000.0
2026-01-03,pork,cutout,0.95,0.97
2026-01-03,pork,live_price,70.19,67.19
2026-01-03,pork,production,487100000.0,432500000.0
2026-01-03,pork,slaughter,2228000.0,1978000.0
2026-01-08,pork,export_korea,3310.0,
2026-01-08,pork,export_total,40670.0,
2026-01-10,beef,cutout,3.54,3.49
2026-01-10,beef,live_price,231.42,230.43
2026-01-10,beef,production,493300000.0,423700000.0
2026-01-10,beef,slaughter,553000.0,474000.0
2026-01-10,pork,cutout,0.92,0.95
2026-01-10,pork,live_price,68.08,70.19
2026-01-10,pork,production,586000000.0,487100000.0
2026-01-10,pork,slaughter,2683000.0,2228000.0
2026-01-15,beef,export_korea,4390.0,
2026-01-15,beef,export_total,15860.0,
2026-01-15,pork,export_korea,4180.0,
2026-01-15,pork,export_total,39220.0,
2026-01-17,beef,cutout,3.59,3.54
2026-01-17,beef,live_price,234.45,231.42
2026-01-17,beef,production,503400000.0,493300000.0
2026-01-17,beef,slaughter,562000.0,553000.0
2026-01-17,pork,cutout,0.93,0.92
2026-01-17,pork,live_price,74.78,68.08
2026-01-17,pork,production,574000000.0,586000000.0
2026-01-17,pork,slaughter,2623000.0,2683000.0
2026-01-22,beef,export_korea,3750.0,
2026-01-22,beef,export_total,12570.0,
2026-01-22,pork,export_korea,3810.0,
2026-01-22,pork,export_total,35920.0,
2026-01-24,beef,cutout,3.66,3.59
2026-01-24,beef,live_price,231.93,234.45
2026-01-24,beef,production,479100000.0,503400000.0
2026-01-24,beef,slaughter,535000.0,562000.0
2026-01-24,pork,cutout,0.94,0.93
2026-01-24,pork,live_price,83.56,74.78
2026-01-24,pork,production,546200000.0,574000000.0
2026-01-24,pork,slaughter,2484000.0,2623000.0
2026-01-29,beef,export_korea,4400.0,
2026-01-29,beef,export_total,12990.0,
2026-01-31,beef,cutout,3.68,3.66
2026-01-31,beef,live_price,236.74,231.93
2026-01-31,beef,production,475100000.0,479100000.0
2026-01-31,beef,slaughter,531000.0,535000.0
2026-01-31,pork,cutout,0.95,0.94
2026-01-31,pork,live_price,83.57,83.56
2026-01-31,pork,production,555600000.0,542700000.0
2026-01-31,pork,slaughter,2522000.0,2468000.0
2026-02-05,pork,export_korea,3710.0,
2026-02-05,pork,export_total,36990.0,
2026-02-07,beef,cutout,3.69,3.68
2026-02-07,beef,live_price,239.91,236.74
2026-02-07,beef,production,477500000.0,472400000.0
2026-02-07,beef,slaughter,536000.0,528000.0
2026-02-07,pork,cutout,0.95,0.95
2026-02-07,pork,live_price,85.39,83.57
2026-02-07,pork,production,570300000.0,555100000.0
2026-02-07,pork,slaughter,2593000.0,2501000.0
2026-02-14,beef,cutout,3.66,3.69
2026-02-14,beef,live_price,241.0,239.91
2026-02-14,beef,production,483100000.0,477500000.0
2026-02-14,beef,slaughter,541000.0,536000.0
2026-02-14,pork,cutout,0.95,0.95
