date,close,adj_close,volume
2009-11-30,17.81,17.33,2256300
2009-12-07,17.65,17.17,1276200
2009-12-14,19.02,18.51,1497100
2009-12-21,18.81,18.30,1080600
2009-12-28,18.83,18.32,793400
2010-01-04,20.65,20.09,2100000
2010-01-11,22.14,21.54,2286500
2010-01-18,21.95,21.36,1326300
2010-01-25,21.14,20.57,1228400
2010-02-01,20.40,19.85,1405700
2010-02-08,20.76,20.20,2586700
2010-02-15,21.47,20.89,932700
2010-02-22,21.40,20.82,699100
2010-03-01,22.00,21.41,631500
2010-03-08,24.12,23.47,1180200
2010-03-15,23.69,23.05,1031500
2010-03-22,23.90,23.26,516900
2010-03-29,23.05,22.43,496700
2010-04-05,24.40,23.74,983900
2010-04-12,26.02,25.32,1208300
2010-04-19,27.53,26.79,1950800
2010-04-26,24.13,23.48,2098300
2010-05-03,22.56,21.95,1498100
2010-05-10,23.36,22.73,1370700
2010-05-17,23.08,22.46,1302000
2010-05-24,23.19,22.56,1162800
2010-05-31,23.56,22.92,1270500
2010-06-07,24.02,23.37,1200200
2010-06-14,25.63,24.94,1018000
2010-06-21,24.39,23.73,1325500
2010-06-28,22.70,22.09,1214900
2010-07-05,23.19,22.56,1051500
2010-07-12,23.79,23.15,866700
2010-07-19,25.49,24.80,1407400
2010-07-26,25.50,24.81,1114600
2010-08-02,25.56,24.87,829500
2010-08-09,23.64,23.00,825600
2010-08-16,24.28,23.62,787100
2010-08-23,25.05,24.37,592700
2010-08-30,27.48,26.74,878600
2010-09-06,26.78,26.06,346500
2010-09-13,26.78,26.06,1098100
2010-09-20,28.11,27.35,1016000
2010-09-27,28.47,27.70,1187100
2010-10-04,29.31,28.52,1028300
2010-10-11,28.91,28.13,809800
2010-10-18,33.94,33.02,2337300
2010-10-25,33.15,32.26,2811000
2010-11-01,34.65,33.71,1829800
2010-11-08,35.48,34.52,2470900
2010-11-15,35.17,34.22,1504600
2010-11-22,36.69,35.70,1151800
2010-11-29,38.15,37.12,1742400
2010-12-06,38.95,37.90,1339000
2010-12-13,38.11,37.08,1946300
2010-12-20,36.67,35.68,1043500
2010-12-27,35.43,34.47,837600
2011-01-03,33.74,32.83,2697900
2011-01-10,35.02,34.07,1922000
2011-01-17,35.60,34.64,1693200
2011-01-24,35.07,34.12,1228400
2011-01-31,36.55,35.56,972900
2011-02-07,36.68,35.69,1946300
2011-02-14,36.34,35.36,1041600
2011-02-21,35.61,34.65,1017900
2011-02-28,36.75,35.76,924600
2011-03-07,38.42,37.38,1590100
2011-03-14,36.00,35.03,1840100
2011-03-21,37.25,36.24,1498200
2011-03-28,39.58,38.51,1141100
2011-04-04,38.63,37.59,731200
2011-04-11,42.19,41.05,1773200
2011-04-18,46.56,45.30,1775500
2011-04-25,46.95,45.68,1721900
2011-05-02,47.61,46.33,1606200
2011-05-09,48.15,46.85,855100
2011-05-16,49.52,48.18,1455500
2011-05-23,50.21,48.85,993500
2011-05-30,47.21,45.94,1645300
2011-06-06,45.84,44.60,1126800
2011-06-13,46.79,45.53,1036800
2011-06-20,49.09,47.77,1163700
2011-06-27,53.30,51.86,1299200
2011-07-04,54.28,52.82,1185600
