date,close,adj_close,volume
2012-08-06,12.86,9.90,13571100
2012-08-13,13.06,10.05,2286900
2012-08-20,12.89,9.92,1537700
2012-08-27,12.98,9.99,840300
2012-09-03,14.45,11.12,2041600
2012-09-10,14.40,11.08,1438700
2012-09-17,15.97,12.29,3855400
2012-09-24,16.45,12.66,4996600
2012-10-01,15.38,11.84,1965300
2012-10-08,14.89,11.46,1893000
2012-10-15,14.66,11.28,846600
2012-10-22,13.13,10.10,2074700
2012-10-29,13.56,10.44,1080500
2012-11-05,15.41,11.86,3083200
2012-11-12,14.70,11.31,1334800
2012-11-19,15.55,11.97,303400
2012-11-26,15.83,12.18,700900
2012-12-03,15.43,11.87,2035800
2012-12-10,16.28,12.53,1627200
2012-12-17,15.66,12.05,1578200
2012-12-24,15.69,12.07,461000
2012-12-31,16.31,12.55,1256800
2013-01-07,17.00,13.08,2938300
2013-01-14,18.50,14.24,2362400
2013-01-21,18.28,14.07,2440100
2013-01-28,18.73,14.41,2453700
2013-02-04,18.25,14.04,2088200
2013-02-11,18.09,13.92,1537000
2013-02-18,17.15,13.20,3130100
2013-02-25,16.95,13.04,3060200
2013-03-04,17.50,13.47,2714000
2013-03-11,17.61,13.55,2802300
2013-03-18,18.18,13.99,2924400
2013-03-25,17.86,13.74,1220400
2013-04-01,18.40,14.16,2013900
2013-04-08,20.78,15.99,4691600
2013-04-15,20.89,16.08,3380000
2013-04-22,21.64,16.65,1551300
2013-04-29,21.32,16.41,3988500
2013-05-06,21.83,16.80,2350600
2013-05-13,21.74,16.73,1454500
2013-05-20,22.31,17.17,10039400
2013-05-27,23.26,17.90,5586800
2013-06-03,23.59,18.15,5110300
2013-06-10,23.69,18.23,2471000
2013-06-17,25.05,19.28,5415500
2013-06-24,24.88,19.15,10510700
2013-07-01,26.00,20.01,3125100
2013-07-08,26.10,20.09,3115600
2013-07-15,24.15,18.59,5094500
2013-07-22,23.12,17.79,4924800
2013-07-29,25.10,19.32,4121500
2013-08-05,24.63,18.95,3430500
2013-08-12,23.47,18.06,2130000
2013-08-19,23.04,17.73,2540300
2013-08-26,22.50,17.32,1874200
2013-09-02,22.86,17.59,2502600
2013-09-09,23.57,18.14,2428200
2013-09-16,23.04,17.73,3142200
2013-09-23,23.85,18.35,2700500
2013-09-30,22.33,17.18,2963400
2013-10-07,22.24,17.12,3804800
2013-10-14,22.63,17.42,2945700
2013-10-21,23.49,18.08,2094400
2013-10-28,25.16,19.36,4620000
2013-11-04,25.61,19.71,5938300
2013-11-11,25.47,19.60,2630900
2013-11-18,25.45,19.59,2106700
2013-11-25,26.20,20.16,3441800
2013-12-02,24.34,18.73,4060600
2013-12-09,23.74,18.27,3289500
2013-12-16,23.88,18.38,4366600
2013-12-23,24.10,18.55,1804100
2013-12-30,23.78,18.30,1702300
2014-01-06,23.08,17.76,3159100
2014-01-13,21.94,16.88,3996800
2014-01-20,23.36,17.98,3728900
2014-01-27,22.97,17.68,3024700
2014-02-03,22.77,17.52,3711700
2014-02-10,22.56,17.36,2603200
2014-02-17,22.77,17.52,4129400
2014-02-24,25.14,19.35,8997500
2014-03-03,25.27,19.45,18691900
2014-03-10,24.97,19.22,5075200
2014-03-17,25.08,19.30,5057500
2014-03-24,23.69,18.23,4479500
2014-03-31,23.47,18.06,3807100
2014-04-07,22.45,17.28,5490100
2014-04-14,22.57,17.37,2830500
2014-04-21,21.51,16.55,3395400
2014-04-28,22.29,17.15,5796000
2014-05-05,20.89,16.08,6237800
2014-05-12,21.57,16.60,6067500
2014-05-19,21.21,16.32,5332800
2014-05-26,20.84,16.04,6671800
2014-06-02,22.32,17.18,4906500
2014-06-09,21.77,16.75,7378600
