date,close,adj_close,volume
2009-11-30,19.49,14.91,5469100
2009-12-07,20.30,15.53,5042300
2009-12-14,21.67,16.58,8532100
2009-12-21,22.51,17.22,3240500
2009-12-28,21.59,16.52,2578700
2010-01-04,21.42,16.39,7307900
2010-01-11,22.45,17.17,10213800
2010-01-18,21.28,16.28,6321300
2010-01-25,21.14,16.17,6391500
2010-02-01,21.26,16.26,5518300
2010-02-08,23.64,18.08,10854700
2010-02-15,23.65,18.09,5177600
2010-02-22,23.65,18.09,4444700
2010-03-01,25.71,19.67,6789400
2010-03-08,26.91,20.58,8694000
2010-03-15,27.14,20.76,8391500
2010-03-22,27.33,20.91,6948600
2010-03-29,27.15,20.77,3590700
2010-04-05,28.18,21.56,5334000
2010-04-12,28.74,21.98,5065900
2010-04-19,29.57,22.62,8758600
2010-04-26,27.17,20.78,11262400
2010-05-03,25.19,19.27,7549900
2010-05-10,26.92,20.59,6987000
2010-05-17,25.40,19.43,8058900
2010-05-24,25.50,19.51,6195400
2010-05-31,24.86,19.02,4755700
2010-06-07,25.02,19.14,8652900
2010-06-14,25.49,19.50,5373800
2010-06-21,23.47,17.95,8030200
2010-06-28,22.16,16.95,6347600
2010-07-05,24.76,18.94,6764500
2010-07-12,24.21,18.52,7021100
2010-07-19,23.81,18.21,13585900
2010-07-26,23.44,17.93,6919700
2010-08-02,23.36,17.87,5116800
2010-08-09,22.03,16.85,4250500
2010-08-16,22.73,17.39,5148700
2010-08-23,23.03,17.62,5606100
2010-08-30,25.75,19.70,7156200
2010-09-06,25.69,19.65,4964100
2010-09-13,25.74,19.69,5386500
2010-09-20,26.30,20.12,4925300
2010-09-27,26.69,20.42,4096800
2010-10-04,27.94,21.37,5266200
2010-10-11,27.80,21.27,5854600
2010-10-18,29.20,22.34,7306800
2010-10-25,29.12,22.28,6568900
2010-11-01,29.80,22.80,3959900
2010-11-08,29.41,22.50,3634200
2010-11-15,30.25,23.14,4124100
2010-11-22,31.96,24.45,4018000
2010-11-29,32.62,24.95,3937000
2010-12-06,33.32,25.49,3362100
2010-12-13,32.20,24.63,6971000
2010-12-20,31.10,23.79,3021800
2010-12-27,30.66,23.45,2154800
2011-01-03,31.02,23.73,6823700
2011-01-10,30.62,23.42,10057200
2011-01-17,30.53,23.35,4878700
2011-01-24,29.49,22.56,6268100
2011-01-31,30.37,23.23,4932200
2011-02-07,29.32,22.43,7129800
2011-02-14,29.49,22.56,4847100
2011-02-21,28.92,22.12,7264700
2011-02-28,28.97,22.16,6215200
2011-03-07,29.84,22.83,5091200
2011-03-14,28.80,22.03,5217500
2011-03-21,28.87,22.08,4571500
2011-03-28,29.82,22.81,4108100
2011-04-04,28.83,22.05,4748500
2011-04-11,29.55,22.60,4167300
2011-04-18,29.42,22.50,7117300
2011-04-25,29.43,22.51,5356000
2011-05-02,30.39,23.25,5894700
2011-05-09,30.91,23.64,3102900
2011-05-16,31.20,23.87,5343100
2011-05-23,31.56,24.14,4923700
2011-05-30,29.88,22.86,3330200
2011-06-06,29.89,22.86,5473300
2011-06-13,29.75,22.76,7144600
2011-06-20,30.91,23.64,6760900
2011-06-27,32.83,25.11,4621600
2011-07-04,33.50,25.63,3555600
2011-07-11,32.69,25.01,4982800
2011-07-18,30.89,23.63,10724000
2011-07-25,28.83,22.05,6347000
2011-08-01,26.97,20.63,7791100
2011-08-08,27.15,20.77,10747000
2011-08-15,25.91,19.82,5696600
2011-08-22,26.79,20.49,4540300
2011-08-29,26.37,20.17,4196800
2011-09-05,25.60,19.58,4378100
2011-09-12,27.44,20.99,5585800
2011-09-19,26.49,20.26,6287400
2011-09-26,24.65,18.86,6547400
2011-10-03,24.99,19.12,7818000
2011-10-10,27.01,20.66,5501600
2011-10-17,27.33,20.91,10255100
2011-10-24,28.36,21.69,6392700
2011-10-31,27.36,20.93,6243200
2011-11-07,27.59,21.10,4009500
2011-11-14,26.75,20.46,3819800
2011-11-21,26.04,19.92,3102000
2011-11-28,28.80,22.03,4385300
2011-12-05,28.28,21.63,3843100
2011-12-12,27.24,20.84,5117700
2011-12-19,29.28,22.40,3578800
2011-12-26,29.35,22.45,2343600
2012-01-02,29.42,22.50,3626500
2012-01-09,28.99,22.18,3891800
2012-01-16,29.94,22.90,3255600
2012-01-23,29.76,22.76,4473900
2012-01-30,31.01,23.72,4237200
2012-02-06,31.13,23.81,3521100
2012-02-13,31.98,24.46,4023000
2012-02-20,29.12,22.28,8054200
2012-02-27,29.37,22.47,5142900
2012-03-05,30.70,23.48,6783200
2012-03-12,31.19,23.86,4351600
2012-03-19,29.84,22.83,6735000
2012-03-26,29.39,22.48,5365500
2012-04-02,29.08,22.24,3818800
2012-04-09,29.60,22.64,5253400
2012-04-16,29.67,22.70,5079000
2012-04-23,31.85,24.36,9415200
2012-04-30,32.01,24.49,6099700
2012-05-07,32.42,24.80,5784700
2012-05-14,30.80,23.56,4852700
2012-05-21,32.34,24.74,4558500
2012-05-28,31.35,23.98,2743700
2012-06-04,31.49,24.09,5870100
2012-06-11,31.68,24.23,3666100
2012-06-18,30.74,23.51,4122800
2012-06-25,31.96,24.45,5809000
2012-07-02,31.68,24.23,2453500
2012-07-09,31.87,24.38,2517900
2012-07-16,31.87,24.38,4103100
2012-07-23,33.89,25.92,6203400
2012-07-30,33.38,25.53,3444800
2012-08-06,32.88,25.24,2664900
2012-08-13,33.67,25.85,2382200
2012-08-20,33.14,25.44,2008900
2012-08-27,33.21,25.50,2163700
2012-09-03,34.82,26.73,2998100
2012-09-10,35.05,26.91,2790600
2012-09-17,35.82,27.50,4932900
2012-09-24,35.75,27.45,2513300
2012-10-01,34.75,26.68,4628500
2012-10-08,34.46,26.46,2459000
2012-10-15,33.73,25.89,4234600
2012-10-22,32.66,25.07,5834600
2012-10-29,33.66,25.84,2574600
2012-11-05,33.26,25.63,3126700
2012-11-12,33.32,25.67,3128900
2012-11-19,34.48,26.57,1338200
2012-11-26,34.19,26.34,3358300
2012-12-03,33.09,25.49,5292600
2012-12-10,33.17,25.56,2455900
2012-12-17,32.86,25.32,3534700
2012-12-24,32.37,24.94,1655800
2012-12-31,34.69,26.73,3337500
2013-01-07,33.67,25.94,2609400
2013-01-14,33.40,25.73,3844400
2013-01-21,33.23,25.60,3232300
2013-01-28,33.80,26.04,3894300
2013-02-04,34.41,26.51,3429800
2013-02-11,33.07,25.48,4002500
2013-02-18,34.48,26.57,6428300
2013-02-25,34.49,26.57,5098700
2013-03-04,35.61,27.53,3670900
2013-03-11,36.14,27.94,4061000
2013-03-18,37.12,28.70,3167900
2013-03-25,38.61,29.85,3367200
2013-04-01,37.67,29.12,3301500
2013-04-08,38.35,29.65,3813500
2013-04-15,37.77,29.20,3232700
2013-04-22,39.77,30.75,7199500
2013-04-29,39.89,30.84,4430200
2013-05-06,40.40,31.33,2363900
2013-05-13,40.75,31.60,2036400
2013-05-20,40.18,31.16,2155700
2013-05-27,39.92,30.96,1555700
2013-06-03,41.46,32.15,2784000
2013-06-10,41.46,32.15,1842300
2013-06-17,40.84,31.67,3819700
2013-06-24,41.89,32.48,3301100
2013-07-01,43.00,33.35,1801400
2013-07-08,43.95,34.08,2162800
2013-07-15,43.29,33.57,2622400
2013-07-22,40.80,31.64,8033200
2013-07-29,43.60,33.81,5093400
2013-08-05,43.73,34.02,3332500
2013-08-12,43.02,33.47,2855600
2013-08-19,42.92,33.39,1812900
2013-08-26,41.77,32.50,2223900
2013-09-02,41.81,32.53,2239400
2013-09-09,43.50,33.84,2151100
2013-09-16,44.11,34.32,3210000
2013-09-23,43.93,34.18,1976300
2013-09-30,43.62,33.94,3595800
2013-10-07,43.11,33.54,3845000
2013-10-14,43.75,34.04,3525900
2013-10-21,46.78,36.39,8700800
2013-10-28,47.40,36.88,3585200
2013-11-04,48.16,37.58,3172800
2013-11-11,47.84,37.33,2709300
2013-11-18,49.44,38.58,2720100
2013-11-25,48.75,38.04,1293800
2013-12-02,48.49,37.84,2455300
2013-12-09,47.33,36.93,2791100
2013-12-16,48.37,37.74,3544000
2013-12-23,48.59,37.91,1592700
2013-12-30,47.70,37.22,1447500
2014-01-06,47.47,37.04,2254500
2014-01-13,45.15,35.23,3947600
2014-01-20,44.71,34.89,5237800
2014-01-27,44.54,34.75,3623200
2014-02-03,44.69,34.87,4441900
2014-02-10,45.87,35.79,5530000
2014-02-17,46.46,36.25,2473500
2014-02-24,47.52,37.19,3675600
2014-03-03,48.58,38.02,4299200
2014-03-10,48.78,38.18,3740600
2014-03-17,48.38,37.86,2498700
2014-03-24,46.56,36.44,2334200
2014-03-31,47.13,36.89,3364400
2014-04-07,46.13,36.10,3251600
2014-04-14,46.97,36.76,2342800
2014-04-21,45.25,35.41,5040900
2014-04-28,45.37,35.51,4849000
2014-05-05,43.91,34.47,2837000
2014-05-12,44.42,34.87,4087700
2014-05-19,45.52,35.74,2212900
2014-05-26,45.87,36.01,2436800
2014-06-02,46.97,36.87,2670200
2014-06-09,46.63,36.61,2034800
2014-06-16,46.31,36.36,4417600
2014-06-23,47.16,37.02,3559600
2014-06-30,46.87,36.80,1917800
2014-07-07,45.90,36.03,3569400
