date,close,adj_close,volume
2023-06-12,38.15,38.15,25169300
2023-06-19,40.15,40.15,5830200
2023-06-26,40.95,40.95,8325500
2023-07-03,39.62,39.62,5446600
2023-07-10,47.67,47.67,17127500
2023-07-17,48.78,48.78,7038300
2023-07-24,52.91,52.91,6849900
2023-07-31,53.44,53.44,6426700
2023-08-07,48.48,48.48,4161100
2023-08-14,43.11,43.11,17300200
2023-08-21,41.62,41.62,6862300
2023-08-28,43.82,43.82,6049700
2023-09-04,39.18,39.18,5290100
2023-09-11,35.42,35.42,13680000
2023-09-18,30.89,30.89,7609800
2023-09-25,30.63,30.63,7170100
2023-10-02,31.61,31.61,6650700
2023-10-09,33.14,33.14,7762500
2023-10-16,33.00,33.00,4995100
2023-10-23,31.63,31.63,3960000
2023-10-30,35.92,35.92,4915300
2023-11-06,31.07,31.07,12503600
2023-11-13,34.12,34.12,6718400
2023-11-20,34.27,34.27,4882100
2023-11-27,36.22,36.22,7302900
2023-12-04,32.24,32.24,7827900
2023-12-11,40.04,40.04,34012000
2023-12-18,41.92,41.92,12377700
2023-12-25,42.98,42.98,6943000
2024-01-01,41.15,41.15,7689300
2024-01-08,42.92,42.92,5632300
2024-01-15,46.25,46.25,7200800
2024-01-22,45.80,45.80,7614800
2024-01-29,49.93,49.93,7554200
2024-02-05,52.88,52.88,9110900
2024-02-12,54.63,54.63,6516500
2024-02-19,51.00,51.00,10540100
2024-02-26,58.30,58.30,22575000
2024-03-04,63.34,63.34,15191300
2024-03-11,64.16,64.16,14688300
2024-03-18,67.96,67.96,13743200
2024-03-25,70.05,70.05,7450100
2024-04-01,64.65,64.65,11434000
2024-04-08,63.75,63.75,13313300
2024-04-15,59.67,59.67,7960500
2024-04-22,69.16,69.16,12128500
2024-04-29,72.17,72.17,14091700
2024-05-06,79.07,79.07,10520400
2024-05-13,77.28,77.28,9189900
2024-05-20,82.93,82.93,10944600
2024-05-27,92.55,92.55,38884200
2024-06-03,85.04,85.04,23011500
2024-06-10,89.93,89.93,13516100
2024-06-17,92.44,92.44,12037200
2024-06-24,92.75,92.75,13048000
2024-07-01,94.99,94.99,7227400
