date,close,adj_close,volume
2009-11-30,37.64,19.73,1640000
2009-12-07,37.50,19.65,1378600
2009-12-14,38.59,20.22,1591100
2009-12-21,39.42,20.66,798200
2009-12-28,37.99,19.91,507700
2010-01-04,37.74,19.78,1117000
2010-01-11,38.72,20.40,1060100
2010-01-18,40.28,21.22,1364400
2010-01-25,36.96,19.48,1216300
2010-02-01,36.74,19.36,730200
2010-02-08,38.58,20.33,972100
2010-02-15,39.86,21.00,649800
2010-02-22,43.68,23.02,2382600
2010-03-01,44.50,23.45,1257900
2010-03-08,45.79,24.13,1212300
2010-03-15,47.19,24.87,1365900
2010-03-22,45.90,24.19,949100
2010-03-29,46.86,24.69,740900
2010-04-05,50.14,26.42,2153500
2010-04-12,51.25,27.11,1587200
2010-04-19,52.15,27.59,1309300
2010-04-26,49.37,26.12,1332500
2010-05-03,46.58,24.64,1644400
2010-05-10,51.39,27.19,1455900
2010-05-17,48.83,25.83,1817600
2010-05-24,49.83,26.36,2473700
2010-05-31,48.75,25.79,1022000
2010-06-07,49.05,25.95,1940500
2010-06-14,50.49,26.71,1158900
2010-06-21,47.40,25.07,1485800
2010-06-28,46.31,24.50,1484400
2010-07-05,47.97,25.38,1373300
2010-07-12,47.03,24.98,1251400
2010-07-19,49.00,26.03,890400
2010-07-26,48.98,26.02,1022100
2010-08-02,48.11,25.55,1003900
2010-08-09,45.64,24.24,1180200
2010-08-16,45.94,24.40,1356200
2010-08-23,45.20,24.01,1084400
2010-08-30,47.27,25.11,1253200
2010-09-06,47.99,25.49,1595000
2010-09-13,50.43,26.79,2540100
2010-09-20,50.54,26.84,1491400
2010-09-27,51.01,27.09,1094200
2010-10-04,52.22,27.74,1474900
2010-10-11,52.69,28.11,1178900
2010-10-18,53.58,28.58,1327900
2010-10-25,53.89,28.75,1190100
2010-11-01,55.47,29.59,1222900
2010-11-08,54.94,29.31,752700
2010-11-15,56.09,29.92,1087900
2010-11-22,53.89,28.75,2161200
2010-11-29,53.70,28.64,1365800
2010-12-06,54.92,29.29,1124500
2010-12-13,56.44,30.11,1384800
2010-12-20,56.53,30.15,612900
2010-12-27,54.77,29.21,624800
2011-01-03,54.50,29.07,1161600
2011-01-10,53.88,28.74,1262100
2011-01-17,52.03,27.87,1158400
2011-01-24,50.31,26.95,1273300
2011-01-31,52.52,28.13,1621000
2011-02-07,52.31,28.02,869200
2011-02-14,53.34,28.57,1050700
2011-02-21,50.06,26.81,2050600
2011-02-28,47.72,25.56,2597100
2011-03-07,49.58,26.56,1722400
2011-03-14,48.03,25.73,1710900
2011-03-21,48.99,26.24,933700
2011-03-28,49.23,26.37,993300
2011-04-04,47.73,25.56,1220100
2011-04-11,50.13,26.97,1670700
2011-04-18,50.68,27.27,1062200
2011-04-25,51.23,27.56,909200
2011-05-02,51.59,27.76,1438500
2011-05-09,52.68,28.34,1291000
2011-05-16,52.80,28.41,943200
2011-05-23,47.60,25.61,5473400
2011-05-30,44.22,23.79,2661800
2011-06-06,44.21,23.79,2573600
2011-06-13,47.60,25.61,2588400
2011-06-20,48.60,26.15,1611700
2011-06-27,49.89,26.84,1469900
2011-07-04,48.76,26.23,1235800
2011-07-11,47.74,25.80,1168700
2011-07-18,46.77,25.28,1134000
2011-07-25,45.11,24.38,1416600
2011-08-01,41.22,22.28,1414800
2011-08-08,40.71,22.00,1669200
2011-08-15,39.06,21.11,1414500
2011-08-22,41.34,22.34,958000
2011-08-29,40.58,21.93,1461400
2011-09-05,37.99,20.53,1399100
2011-09-12,41.99,22.69,2189000
2011-09-19,41.00,22.16,2152600
2011-09-26,40.03,21.64,2449000
2011-10-03,40.51,21.90,1456600
2011-10-10,41.71,22.54,1055600
2011-10-17,40.03,21.77,1206800
2011-10-24,42.98,23.37,1243700
2011-10-31,42.93,23.35,840500
2011-11-07,45.42,24.70,1572000
2011-11-14,45.48,24.73,1107400
2011-11-21,43.77,23.80,983600
2011-11-28,48.70,26.48,1408800
2011-12-05,49.73,27.04,1222100
2011-12-12,49.30,26.81,1341000
2011-12-19,50.57,27.50,857700
2011-12-26,50.41,27.41,448900
2012-01-02,51.08,27.78,1786100
2012-01-09,52.73,28.68,802100
2012-01-16,53.41,29.18,467100
2012-01-23,52.47,28.67,1259900
2012-01-30,54.72,29.90,763300
2012-02-06,53.34,29.15,843200
2012-02-13,55.63,30.40,1451000
2012-02-20,55.86,30.52,2296500
2012-02-27,54.94,30.02,1154900
2012-03-05,56.08,30.64,1396200
2012-03-12,56.39,30.81,745500
2012-03-19,55.41,30.28,921700
2012-03-26,55.80,30.49,878400
2012-04-02,56.35,30.79,584500
2012-04-09,55.80,30.49,972000
2012-04-16,56.57,31.05,1037800
2012-04-23,57.84,31.75,1065500
2012-04-30,57.50,31.56,1113900
2012-05-07,58.22,31.95,940300
2012-05-14,56.55,31.04,715100
2012-05-21,59.82,32.83,2480500
2012-05-28,59.39,32.60,1218600
2012-06-04,59.91,32.88,1153200
2012-06-11,59.85,32.85,945400
2012-06-18,59.91,32.88,1287700
2012-06-25,62.80,34.47,949400
2012-07-02,62.76,34.45,536900
2012-07-09,62.92,34.53,568200
2012-07-16,61.64,34.05,820200
2012-07-23,62.60,34.58,736100
2012-07-30,62.96,34.77,739700
2012-08-06,62.98,34.79,556500
2012-08-13,63.67,35.17,589600
2012-08-20,62.70,34.63,544400
2012-08-27,62.98,34.79,501600
2012-09-03,64.72,35.75,691200
2012-09-10,64.13,35.42,768000
2012-09-17,66.67,36.82,2560100
2012-09-24,67.11,37.07,1595100
2012-10-01,67.29,37.17,869700
2012-10-08,66.71,36.85,877700
2012-10-15,65.02,36.18,764300
2012-10-22,63.34,35.25,743700
2012-10-29,63.45,35.31,510600
2012-11-05,62.51,34.78,895600
2012-11-12,62.07,34.54,779800
2012-11-19,63.26,35.20,599900
2012-11-26,61.45,34.19,1994700
2012-12-03,61.34,34.13,1298000
2012-12-10,63.47,35.32,1571600
2012-12-17,63.88,35.55,1243600
2012-12-24,62.91,35.01,463900
2012-12-31,65.68,36.55,754300
2013-01-07,65.29,36.33,747400
2013-01-14,64.22,36.01,1255900
2013-01-21,64.58,36.21,783800
2013-01-28,65.50,36.73,1201300
2013-02-04,65.81,36.90,662700
2013-02-11,66.71,37.41,945900
2013-02-18,67.34,37.76,829200
2013-02-25,76.06,42.65,2570200
2013-03-04,78.37,43.95,861400
2013-03-11,80.16,44.95,781900
2013-03-18,80.59,45.19,787600
2013-03-25,80.85,45.34,696100
2013-04-01,80.68,45.24,812100
2013-04-08,82.78,46.42,730300
2013-04-15,80.65,45.51,731100
2013-04-22,81.61,46.05,491300
2013-04-29,83.65,47.20,472300
2013-05-06,85.00,47.96,372400
2013-05-13,86.59,48.86,404400
2013-05-20,86.97,49.07,473100
2013-05-27,89.46,50.48,512500
2013-06-03,97.93,55.26,1548200
2013-06-10,95.94,54.13,1052400
2013-06-17,91.57,51.67,1045000
2013-06-24,94.66,53.41,852100
2013-07-01,99.33,56.05,501200
2013-07-08,101.78,57.43,741200
2013-07-15,99.08,56.32,853700
2013-07-22,96.72,54.98,1123500
2013-07-29,100.95,57.38,557500
2013-08-05,98.56,56.02,504400
2013-08-12,100.24,56.98,560600
2013-08-19,100.53,57.14,457900
2013-08-26,98.42,55.94,326700
2013-09-02,98.04,55.73,553200
2013-09-09,104.64,59.48,775500
2013-09-16,102.44,58.23,1885700
2013-09-23,103.07,58.59,1250200
2013-09-30,104.24,59.25,700900
2013-10-07,105.66,60.06,684400
2013-10-14,106.28,60.85,711500
2013-10-21,108.43,62.08,552600
2013-10-28,110.17,63.07,893800
2013-11-04,112.20,64.23,678200
2013-11-11,110.37,63.19,732900
2013-11-18,116.87,66.91,895400
2013-11-25,108.49,62.11,1183500
2013-12-02,107.57,61.58,985100
2013-12-09,105.53,60.42,799300
2013-12-16,108.63,62.19,1066500
2013-12-23,111.26,63.70,557100
2013-12-30,110.59,63.31,604500
2014-01-06,110.43,63.22,780500
2014-01-13,103.21,59.51,1345500
2014-01-20,101.37,58.44,922100
2014-01-27,99.01,57.08,1400200
2014-02-03,97.13,56.00,945600
2014-02-10,99.21,57.20,921100
2014-02-17,98.11,56.57,722600
2014-02-24,99.45,57.34,1436700
2014-03-03,99.93,57.61,1449100
2014-03-10,100.68,58.05,872200
2014-03-17,98.04,56.52,1242400
2014-03-24,97.22,56.05,949900
2014-03-31,96.00,55.35,811000
2014-04-07,95.66,55.15,1063100
2014-04-14,95.67,55.59,694100
2014-04-21,95.80,55.66,683400
2014-04-28,96.92,56.31,998600
2014-05-05,95.24,55.34,988800
2014-05-12,97.37,56.57,1021900
2014-05-19,99.25,57.67,827600
2014-05-26,100.55,58.42,1055800
2014-06-02,102.74,59.69,857100
2014-06-09,101.39,58.91,836900
2014-06-16,99.13,57.60,963400
2014-06-23,100.57,58.43,898400
2014-06-30,100.48,58.38,539500
2014-07-07,99.52,57.82,708300
2014-07-14,98.03,57.54,816500
2014-07-21,97.77,57.39,680500
2014-07-28,96.66,56.73,769400
2014-08-04,97.92,57.47,792600
2014-08-11,98.63,57.89,681000
2014-08-18,99.42,58.35,639100
2014-08-25,100.41,58.93,637800
2014-09-01,102.31,60.05,566700
2014-09-08,102.58,60.21,694200
2014-09-15,102.93,60.41,1451600
2014-09-22,104.04,61.07,861600
2014-09-29,104.49,61.33,915400
2014-10-06,103.62,60.82,988600
2014-10-13,107.26,63.54,1396300
2014-10-20,110.99,65.75,1042600
2014-10-27,115.35,68.34,969700
2014-11-03,118.44,70.17,1249900
2014-11-10,120.46,71.36,1087200
2014-11-17,118.57,70.24,1094800
2014-11-24,128.01,75.83,1438600
2014-12-01,131.73,78.04,1199600
2014-12-08,132.51,78.50,1179800
2014-12-15,134.61,79.74,1383000
2014-12-22,139.07,82.39,639300
2014-12-29,138.77,82.21,1036600
2015-01-05,134.89,79.91,2350700
2015-01-12,132.10,78.83,1503900
2015-01-19,134.46,80.24,805700
2015-01-26,134.51,80.27,980400
2015-02-02,128.20,76.51,2813400
2015-02-09,130.79,78.05,2234800
