date,close,adj_close,volume
2009-11-30,7.79,6.15,1369300
2009-12-07,7.69,6.07,921600
2009-12-14,7.73,6.10,2774800
2009-12-21,8.59,6.78,1579400
2009-12-28,8.38,6.61,925100
2010-01-04,9.37,7.39,2731200
2010-01-11,11.33,8.94,11222300
2010-01-18,11.07,8.74,5377000
2010-01-25,11.30,8.92,3274200
2010-02-01,10.62,8.38,4385500
2010-02-08,11.53,9.10,3234000
2010-02-15,12.28,9.69,3090900
2010-02-22,12.49,9.86,3365400
2010-03-01,13.89,10.96,13255000
2010-03-08,13.90,10.97,7921300
2010-03-15,13.35,10.54,5850500
2010-03-22,13.79,10.88,4217700
2010-03-29,13.78,10.87,3086500
2010-04-05,14.46,11.41,6851700
2010-04-12,14.82,11.70,6780800
2010-04-19,15.19,11.99,4712100
2010-04-26,15.41,12.16,7050400
2010-05-03,12.57,9.92,15793300
2010-05-10,13.55,10.69,6004500
2010-05-17,12.98,10.24,5549200
2010-05-24,13.00,10.26,4516700
2010-05-31,12.69,10.01,4169000
2010-06-07,12.67,10.00,4834300
2010-06-14,12.85,10.14,3340600
2010-06-21,11.79,9.30,4449500
2010-06-28,11.50,9.08,6121900
2010-07-05,12.21,9.64,3525700
2010-07-12,12.16,9.60,3063100
2010-07-19,13.20,10.42,3015200
2010-07-26,12.79,10.09,6658100
2010-08-02,13.00,10.26,4067000
2010-08-09,13.17,10.39,3963300
2010-08-16,13.08,10.32,3360500
2010-08-23,12.86,10.15,2908000
2010-08-30,13.83,10.91,2574600
2010-09-06,13.86,10.94,2246700
2010-09-13,13.97,11.02,2004100
2010-09-20,13.35,10.54,3488200
2010-09-27,13.15,10.38,2936400
2010-10-04,14.18,11.19,3435200
2010-10-11,14.62,11.54,3398000
2010-10-18,15.28,12.06,10660800
2010-10-25,14.84,11.71,4573500
2010-11-01,15.15,11.96,4946100
2010-11-08,14.65,11.56,6274900
2010-11-15,14.39,11.36,3762600
2010-11-22,14.78,11.66,1757800
2010-11-29,14.85,11.72,2900200
2010-12-06,15.40,12.15,5664100
2010-12-13,15.85,12.51,5436300
2010-12-20,16.00,12.63,2035400
2010-12-27,15.95,12.59,2032000
2011-01-03,16.63,13.12,5611900
2011-01-10,17.16,13.54,3983500
2011-01-17,16.67,13.16,2741400
2011-01-24,16.37,12.92,2860800
2011-01-31,16.52,13.04,5782600
2011-02-07,17.05,13.46,3811700
2011-02-14,17.14,13.53,3982900
2011-02-21,16.79,13.25,4199800
2011-02-28,17.32,13.67,11817200
2011-03-07,17.86,14.09,4565600
2011-03-14,17.72,13.98,6218000
2011-03-21,18.19,14.36,3979200
2011-03-28,18.47,14.58,4259900
2011-04-04,18.05,14.24,2750300
2011-04-11,18.06,14.25,4195000
2011-04-18,18.30,14.44,2399500
2011-04-25,18.57,14.66,3352700
2011-05-02,21.94,17.31,9540600
2011-05-09,23.53,18.57,6086700
2011-05-16,24.52,19.35,6060200
2011-05-23,24.58,19.40,4995800
2011-05-30,24.24,19.13,4649500
