date,close,adj_close,volume
2009-11-30,28.79,16.96,10599396
2009-12-07,29.01,17.08,9255062
2009-12-14,31.40,18.49,18795950
2009-12-21,32.12,18.91,7651975
2009-12-28,31.35,18.46,6242755
2010-01-04,30.51,18.10,14334042
2010-01-11,31.55,18.72,11171049
2010-01-18,32.32,19.17,11497707
2010-01-25,33.04,19.60,16201253
2010-02-01,33.60,19.93,14239736
2010-02-08,34.85,20.67,11212999
2010-02-15,36.69,21.77,10803893
2010-02-22,36.25,21.50,10286833
2010-03-01,36.63,21.73,11383489
2010-03-08,37.56,22.28,11053921
2010-03-15,39.02,23.14,11516054
2010-03-22,39.59,23.48,17647835
2010-03-29,39.78,23.60,7739904
2010-04-05,41.83,24.95,13871351
2010-04-12,41.89,24.98,11367491
2010-04-19,43.52,25.96,11249804
2010-04-26,40.00,23.86,12698066
2010-05-03,38.09,22.72,14300034
2010-05-10,38.86,23.18,9042398
2010-05-17,37.19,22.18,11918782
2010-05-24,38.35,22.87,11070477
2010-05-31,37.79,22.54,10654100
2010-06-07,38.70,23.08,9683633
2010-06-14,39.76,23.72,9467167
2010-06-21,34.86,20.79,23273185
2010-06-28,34.40,20.52,15297013
2010-07-05,35.25,21.20,12394563
2010-07-12,35.54,21.38,11046538
2010-07-19,38.05,22.89,13647724
2010-07-26,37.45,22.53,9609240
2010-08-02,37.38,22.49,10180780
2010-08-09,35.44,21.32,9265689
2010-08-16,36.89,22.19,7934221
2010-08-23,37.98,22.85,7708356
2010-08-30,39.83,23.96,9143528
2010-09-06,40.00,24.06,7161316
2010-09-13,39.98,24.05,9437521
2010-09-20,38.98,23.45,14919230
2010-09-27,38.43,23.12,12743148
2010-10-04,39.44,23.90,9680164
2010-10-11,39.99,24.24,9793600
2010-10-18,41.90,25.39,9837789
2010-10-25,40.86,24.76,8396801
2010-11-01,43.08,26.10,7192863
2010-11-08,43.49,26.35,7710034
2010-11-15,43.84,26.56,8870902
2010-11-22,44.24,26.81,6112540
2010-11-29,44.98,27.26,8437520
2010-12-06,44.23,26.80,5779057
2010-12-13,44.60,27.03,11734534
2010-12-20,41.79,25.32,14451169
2010-12-27,41.51,25.16,5895850
2011-01-03,41.58,25.37,10868441
2011-01-10,41.25,25.17,8653541
2011-01-17,41.48,25.31,7714286
2011-01-24,40.39,24.64,12208748
2011-01-31,43.79,26.72,13255957
2011-02-07,44.24,27.00,8047096
2011-02-14,44.78,27.33,6021144
2011-02-21,42.26,25.79,8662826
2011-02-28,41.41,25.27,9821681
2011-03-07,42.00,25.63,11730172
2011-03-14,41.29,25.20,10123728
2011-03-21,40.79,24.89,11816311
2011-03-28,43.49,26.54,13003692
2011-04-04,41.91,25.75,8629488
2011-04-11,42.63,26.19,7892270
2011-04-18,42.93,26.37,6365813
2011-04-25,41.99,25.79,7300034
2011-05-02,43.29,26.59,10761270
2011-05-09,44.97,27.63,7880859
2011-05-16,46.05,28.29,10419621
2011-05-23,45.52,27.96,8347353
2011-05-30,42.98,26.40,11364694
2011-06-06,41.98,25.79,9770444
2011-06-13,42.12,25.87,9779394
2011-06-20,43.36,26.64,9086811
2011-06-27,47.19,28.99,16993512
2011-07-04,47.57,29.46,11478577
2011-07-11,47.02,29.12,10923369
2011-07-18,47.63,29.49,8170713
2011-07-25,45.41,28.12,7072380
2011-08-01,42.87,26.55,13563038
2011-08-08,43.53,26.96,23209308
2011-08-15,40.18,24.88,11333594
2011-08-22,40.98,25.38,11182795
2011-08-29,41.50,25.70,9378454
2011-09-05,38.77,24.01,16560466
2011-09-12,40.77,25.25,14907485
2011-09-19,41.17,25.50,14238395
2011-09-26,38.21,23.67,22706232
2011-10-03,39.44,24.67,18248909
2011-10-10,41.71,26.09,11872805
2011-10-17,42.17,26.37,9071149
2011-10-24,43.35,27.12,12536973
2011-10-31,42.34,26.48,10468844
2011-11-07,42.38,26.51,6695603
2011-11-14,41.54,25.98,11426445
2011-11-21,39.87,24.94,7004363
2011-11-28,42.49,26.58,8417944
2011-12-05,38.63,24.16,33756685
2011-12-12,39.05,24.42,19116344
2011-12-19,40.85,25.55,11373084
2011-12-26,40.74,25.49,4718089
2012-01-02,39.64,25.03,9637655
2012-01-09,39.83,25.15,9160309
2012-01-16,41.79,26.39,9212664
2012-01-23,41.24,26.04,9038707
2012-01-30,43.37,27.39,8412015
2012-02-06,44.20,27.91,10153149
2012-02-13,45.50,28.73,10310549
2012-02-20,43.97,27.77,11833427
2012-02-27,44.48,28.09,11514040
2012-03-05,46.00,29.05,8688667
2012-03-12,46.94,29.64,9260432
2012-03-19,45.52,28.74,12738784
2012-03-26,45.73,28.88,14146997
2012-04-02,44.69,28.47,10505313
2012-04-09,44.95,28.63,10814744
2012-04-16,44.63,28.43,10327777
2012-04-23,45.09,28.72,12341872
2012-04-30,45.25,28.82,11478913
2012-05-07,45.26,28.83,9995749
2012-05-14,45.71,29.11,20303167
2012-05-21,47.43,30.21,9130998
2012-05-28,44.58,28.39,9298131
2012-06-04,44.71,28.48,12837343
2012-06-11,46.00,29.30,12956483
2012-06-18,44.73,28.49,14942052
2012-06-25,45.26,28.83,13015661
2012-07-02,45.40,29.20,6082000
2012-07-09,44.89,28.87,8370959
2012-07-16,45.68,29.38,6931424
2012-07-23,46.47,29.89,9589774
2012-07-30,46.89,30.15,7169817
2012-08-06,47.24,30.38,7022038
2012-08-13,48.15,30.97,6541224
2012-08-20,46.80,30.10,7004363
2012-08-27,46.44,29.87,5432152
2012-09-03,47.81,30.75,4901444
2012-09-10,48.31,31.07,8591676
2012-09-17,51.14,32.89,12100347
2012-09-24,49.83,32.05,7861057
2012-10-01,49.24,31.96,6960846
2012-10-08,48.58,31.53,5293545
2012-10-15,48.12,31.23,6376552
2012-10-22,46.97,30.48,7134131
2012-10-29,47.05,30.53,3818995
2012-11-05,46.13,29.94,7527129
2012-11-12,45.52,29.54,4979751
2012-11-19,47.85,31.05,3940374
2012-11-26,47.27,30.67,5941939
2012-12-03,41.71,27.07,19783532
2012-12-10,41.53,26.95,13746951
2012-12-17,40.34,26.18,13123727
2012-12-24,39.72,25.78,5670433
2012-12-31,41.53,26.95,8842600
2013-01-07,40.15,26.34,10217585
2013-01-14,40.57,26.61,7759704
2013-01-21,41.00,26.90,7560913
2013-01-28,41.87,27.47,10176642
2013-02-04,42.34,27.77,12583511
2013-02-11,40.36,26.48,9935899
