date,close,adj_close,volume
2009-11-30,13.86,10.37,10109300
2009-12-07,14.25,10.66,8721400
2009-12-14,15.07,11.27,10677700
2009-12-21,15.37,11.50,4468300
2009-12-28,14.92,11.16,5256300
2010-01-04,14.43,10.79,12906800
2010-01-11,15.18,11.35,8408500
2010-01-18,16.91,12.65,22538400
2010-01-25,16.32,12.21,11169000
2010-02-01,16.30,12.19,8300200
2010-02-08,17.81,13.32,7997100
2010-02-15,18.25,13.65,5706400
2010-02-22,18.11,13.54,5851200
2010-03-01,18.27,13.66,9873100
2010-03-08,19.72,14.83,10393300
2010-03-15,19.74,14.85,6125300
2010-03-22,19.59,14.74,11458300
2010-03-29,19.28,14.50,8069700
2010-04-05,20.14,15.15,7284100
2010-04-12,20.38,15.33,6795700
2010-04-19,20.46,15.39,14808200
2010-04-26,18.52,13.93,12032300
2010-05-03,17.64,13.27,9130100
2010-05-10,17.50,13.16,9275600
2010-05-17,17.61,13.25,10388600
2010-05-24,17.78,13.37,5290000
2010-05-31,17.19,12.93,4632500
2010-06-07,16.79,12.63,10505700
2010-06-14,15.94,12.09,11066600
2010-06-21,14.92,11.32,10608700
2010-06-28,14.24,10.80,9756800
2010-07-05,15.26,11.57,6127800
2010-07-12,15.53,11.78,7834400
2010-07-19,16.24,12.32,10004900
2010-07-26,15.72,11.92,6179700
2010-08-02,15.71,11.92,5809400
2010-08-09,15.07,11.43,14709000
2010-08-16,15.60,11.83,7479700
2010-08-23,16.62,12.61,9509900
2010-08-30,18.03,13.68,12653100
2010-09-06,17.96,13.73,5236700
2010-09-13,17.65,13.49,11022300
2010-09-20,18.41,14.07,9645500
2010-09-27,19.06,14.57,9559000
2010-10-04,19.04,14.56,9984900
2010-10-11,19.90,15.21,8899500
2010-10-18,20.19,15.43,7360200
2010-10-25,18.54,14.17,15707900
2010-11-01,18.89,14.44,8538200
2010-11-08,18.75,14.33,11285400
2010-11-15,18.78,14.36,7998300
2010-11-22,19.99,15.28,6773700
2010-11-29,21.65,16.55,9926700
2010-12-06,21.39,16.46,7973900
2010-12-13,21.11,16.24,9185100
2010-12-20,21.30,16.39,6139800
2010-12-27,20.88,16.06,3729400
2011-01-03,21.92,16.86,10867400
2011-01-10,21.71,16.70,9187300
2011-01-17,21.04,16.19,8606500
2011-01-24,23.50,18.08,22024900
2011-01-31,23.74,18.26,10449900
2011-02-07,24.46,18.82,8404600
2011-02-14,24.16,18.59,5760300
2011-02-21,23.82,18.33,9287800
2011-02-28,23.82,18.33,8097900
2011-03-07,24.79,19.18,10115600
2011-03-14,23.97,18.54,8086300
2011-03-21,24.55,18.99,5577900
2011-03-28,25.43,19.67,5292100
2011-04-04,23.91,18.50,8667200
2011-04-11,25.18,19.48,10462400
2011-04-18,24.75,19.15,6352300
2011-04-25,24.09,18.64,14233600
2011-05-02,24.22,18.74,7918800
2011-05-09,25.31,19.58,4575400
2011-05-16,25.76,19.93,7263800
2011-05-23,25.80,19.96,6811600
2011-05-30,24.18,18.71,6560900
2011-06-06,23.29,18.02,5562800
2011-06-13,23.56,18.33,5116900
2011-06-20,24.56,19.11,5068600
2011-06-27,26.16,20.36,8893100
2011-07-04,26.55,20.66,5148000
2011-07-11,25.53,19.87,6571600
2011-07-18,25.81,20.08,6826800
2011-07-25,24.02,18.69,6596100
2011-08-01,22.25,17.31,9465600
2011-08-08,23.52,18.30,21948600
2011-08-15,22.30,17.35,12367500
2011-08-22,22.56,17.56,12639800
2011-08-29,21.70,16.89,8413100
2011-09-05,20.01,15.69,9138000
2011-09-12,21.21,16.63,12440800
2011-09-19,21.73,17.04,13035900
2011-09-26,20.92,16.40,11846400
2011-10-03,20.99,16.46,12270000
2011-10-10,22.29,17.48,6959300
2011-10-17,22.73,17.82,7196400
2011-10-24,23.28,18.25,10874200
2011-10-31,22.78,17.86,8550700
2011-11-07,22.92,17.97,6540700
2011-11-14,23.20,18.19,9353400
2011-11-21,21.91,17.18,3426700
2011-11-28,24.09,18.89,5585000
2011-12-05,23.91,18.87,8254800
2011-12-12,24.35,19.22,10307100
2011-12-19,27.00,21.31,8710100
2011-12-26,26.76,21.12,4839900
2012-01-02,26.53,20.94,7748200
2012-01-09,26.78,21.14,5224200
2012-01-16,27.59,21.78,5296800
2012-01-23,26.19,20.67,13709900
2012-01-30,27.56,21.76,8227300
2012-02-06,27.15,21.43,6747500
2012-02-13,28.10,22.18,8087400
2012-02-20,26.58,20.98,5553400
2012-02-27,27.30,21.55,7114400
2012-03-05,28.79,22.86,7731000
2012-03-12,28.71,22.80,4234500
2012-03-19,28.08,22.30,6938900
2012-03-26,27.55,21.88,6141200
2012-04-02,27.55,21.88,5566200
2012-04-09,28.03,22.26,7634300
2012-04-16,27.90,22.16,8481900
2012-04-23,31.56,25.06,16150200
2012-04-30,32.09,25.48,7906100
2012-05-07,31.66,25.14,9677600
2012-05-14,30.28,24.05,7978500
2012-05-21,32.36,25.70,9597000
2012-05-28,30.86,24.51,4784700
2012-06-04,30.90,24.66,9162700
2012-06-11,32.31,25.79,6289900
2012-06-18,30.82,24.60,8144000
2012-06-25,31.87,25.44,6987400
2012-07-02,31.90,25.46,4070600
2012-07-09,32.28,25.76,4587900
2012-07-16,32.79,26.17,7728100
2012-07-23,32.47,25.92,5626200
2012-07-30,33.15,26.46,3899400
2012-08-06,33.48,26.72,10079100
2012-08-13,34.17,27.27,4421400
2012-08-20,34.51,27.54,3787300
2012-08-27,34.46,27.50,4161500
2012-09-03,35.45,28.46,3055100
2012-09-10,35.30,28.34,4202900
2012-09-17,35.32,28.35,4008700
2012-09-24,35.30,28.34,4871600
2012-10-01,34.24,27.49,6556900
2012-10-08,33.05,26.53,5166300
2012-10-15,33.11,26.58,4956000
2012-10-22,30.85,24.76,16746000
2012-10-29,30.98,24.87,4702200
2012-11-05,30.36,24.37,6774700
2012-11-12,28.82,23.14,6370000
2012-11-19,29.45,23.64,3525000
2012-11-26,29.95,24.04,6717400
2012-12-03,30.58,24.72,8725500
2012-12-10,31.58,25.52,7696400
2012-12-17,31.09,25.13,6375900
2012-12-24,30.39,24.56,2026300
2012-12-31,33.02,26.69,6560600
2013-01-07,32.80,26.51,7350100
2013-01-14,33.37,26.97,9361100
2013-01-21,33.09,26.74,9939900
2013-01-28,33.96,27.45,7458200
2013-02-04,33.83,27.34,7462500
2013-02-11,32.14,25.98,9996200
2013-02-18,31.87,25.76,8842400
2013-02-25,33.87,27.38,11467500
2013-03-04,35.55,28.90,7019500
2013-03-11,35.30,28.69,6081200
2013-03-18,36.69,29.82,4802800
2013-03-25,37.65,30.60,3567200
2013-04-01,38.48,31.28,5862500
2013-04-08,38.40,31.21,6808400
2013-04-15,38.14,31.00,5650600
2013-04-22,38.27,31.11,11080200
2013-04-29,39.33,31.97,5035500
2013-05-06,40.74,33.12,5275200
2013-05-13,41.40,33.65,6591000
2013-05-20,40.62,33.02,4246000
2013-05-27,39.21,31.87,5290100
2013-06-03,41.18,33.47,5395100
2013-06-10,40.54,33.11,4626500
2013-06-17,38.39,31.36,4829800
2013-06-24,39.43,32.21,6574100
2013-07-01,41.18,33.64,3124000
2013-07-08,41.16,33.62,4499400
2013-07-15,39.84,32.54,6312400
2013-07-22,39.04,31.89,7811400
2013-07-29,43.74,35.73,13781600
2013-08-05,42.76,34.93,5874100
2013-08-12,41.98,34.29,3595400
2013-08-19,41.37,33.79,3151500
2013-08-26,39.99,32.66,3401100
2013-09-02,39.38,32.36,6248000
2013-09-09,41.08,33.76,4605800
2013-09-16,40.80,33.53,6590200
2013-09-23,40.87,33.59,4273200
2013-09-30,39.65,32.58,5884600
2013-10-07,40.22,33.05,5959500
2013-10-14,41.32,33.96,5294500
2013-10-21,42.83,35.20,10128300
2013-10-28,44.59,36.64,6347400
2013-11-04,45.94,37.75,5895100
2013-11-11,46.01,37.81,3529200
2013-11-18,47.37,38.93,4420300
2013-11-25,47.03,38.65,1819900
2013-12-02,46.42,38.34,5219200
2013-12-09,45.36,37.47,3000100
2013-12-16,46.30,38.24,4539600
2013-12-23,46.33,38.27,1485700
2013-12-30,45.25,37.38,2726100
2014-01-06,44.80,37.00,4887600
2014-01-13,46.14,38.11,7046200
2014-01-20,49.60,40.97,8259400
2014-01-27,48.36,39.95,4459000
2014-02-03,49.79,41.13,4942000
2014-02-10,50.17,41.44,3558100
2014-02-17,51.56,42.59,1949000
2014-02-24,55.00,45.43,6265200
2014-03-03,53.24,44.17,7582900
2014-03-10,52.87,43.86,4119800
2014-03-17,52.19,43.30,4391200
2014-03-24,52.09,43.22,4229000
2014-03-31,51.45,42.69,3615600
2014-04-07,49.94,41.43,4484300
2014-04-14,50.56,41.95,3778600
2014-04-21,49.14,40.77,7528700
2014-04-28,49.48,41.05,3836800
2014-05-05,49.00,40.65,2842200
2014-05-12,48.60,40.32,2748300
2014-05-19,49.46,41.04,2523400
2014-05-26,49.65,41.19,2442200
2014-06-02,51.51,42.74,3634800
2014-06-09,50.63,42.21,3132300
2014-06-16,50.89,42.42,3000700
2014-06-23,49.34,41.13,3661400
2014-06-30,48.25,40.22,3060900
2014-07-07,45.99,38.34,5484400
2014-07-14,45.37,37.82,8207400
2014-07-21,45.21,37.69,6340900
2014-07-28,44.43,37.04,4160100
2014-08-04,45.55,37.97,7910500
2014-08-11,46.78,39.00,4599100
2014-08-18,49.37,41.16,5111700
2014-08-25,48.90,40.76,3638400
2014-09-01,49.95,41.88,3081300
2014-09-08,50.80,42.59,4918800
2014-09-15,51.77,43.40,3761700
2014-09-22,51.00,42.76,4587300
2014-09-29,53.00,44.43,6305300
2014-10-06,52.12,43.70,5468600
2014-10-13,51.79,43.42,8260100
2014-10-20,51.28,42.99,8804800
2014-10-27,53.64,44.97,3389300
2014-11-03,54.13,45.38,4964300
2014-11-10,54.53,45.72,4543700
2014-11-17,54.41,45.62,3294800
2014-11-24,56.33,47.23,2745800
2014-12-01,57.06,48.08,3780200
2014-12-08,55.93,47.13,3985900
2014-12-15,57.11,48.12,4756500
2014-12-22,59.00,49.71,2500300
2014-12-29,58.77,49.52,2275200
2015-01-05,60.78,51.21,5975700
2015-01-12,60.84,51.26,4658100
2015-01-19,62.04,52.27,3763700
2015-01-26,58.43,49.23,8120600
2015-02-02,59.53,50.16,7670800
2015-02-09,59.16,49.85,4899500
2015-02-16,62.29,52.49,4898000
2015-02-23,59.46,50.10,5099600
2015-03-02,57.69,48.84,4917300
2015-03-09,60.73,51.41,6444700
2015-03-16,61.45,52.02,4181300
2015-03-23,60.59,51.29,4196000
2015-03-30,61.82,52.34,3682700
2015-04-06,60.98,51.62,5654900
2015-04-13,58.63,49.64,5024000
2015-04-20,57.59,48.75,9834500
2015-04-27,56.24,47.61,7121400
2015-05-04,55.29,46.81,5191400
2015-05-11,55.32,46.83,5900400
2015-05-18,56.09,47.48,3673600
2015-05-25,55.18,46.71,4011300
2015-06-01,56.97,48.23,4737400
2015-06-08,57.61,49.01,3783400
2015-06-15,57.72,49.11,3424800
2015-06-22,58.79,50.02,6007200
2015-06-29,57.54,48.95,3350200
2015-07-06,58.51,49.78,5200000
2015-07-13,57.20,48.67,4706800
2015-07-20,56.82,48.34,4002500
