date,close,adj_close,volume
2009-11-30,111.01,82.40,895036300
2009-12-07,111.11,82.48,715769500
2009-12-14,110.21,82.25,740889800
2009-12-21,112.48,83.94,361207700
2009-12-28,111.44,83.17,331857300
2010-01-04,114.57,85.50,604092800
2010-01-11,113.64,84.81,759533100
2010-01-18,109.21,81.50,1046464900
2010-01-25,107.39,80.15,1296751500
2010-02-01,106.66,79.60,1427225100
2010-02-08,108.04,80.63,1330712600
2010-02-15,111.14,82.94,744556100
2010-02-22,110.74,82.65,949418600
2010-03-01,114.25,85.27,771376300
2010-03-08,115.46,86.17,778142600
2010-03-15,115.97,86.91,916108100
2010-03-22,116.58,87.36,992696800
2010-03-29,117.80,88.28,602579900
2010-04-05,119.55,89.59,692518600
2010-04-12,119.36,89.45,908333600
2010-04-19,121.81,91.28,861261700
2010-04-26,118.81,89.03,1263760600
2010-05-03,111.26,83.38,2156989900
2010-05-10,113.89,85.35,1529670400
2010-05-17,109.11,81.76,2112367000
2010-05-24,109.37,81.96,1614851500
2010-05-31,106.82,80.05,1143247000
2010-06-07,109.68,82.19,1422425500
2010-06-14,111.73,84.13,1099031200
2010-06-21,107.87,81.22,1214386100
2010-06-28,102.20,76.95,1443279800
2010-07-05,107.96,81.29,866546700
2010-07-12,106.66,80.31,1043767600
2010-07-19,110.41,83.13,1206200500
2010-07-26,110.27,83.03,992577200
2010-08-02,112.39,84.62,873294300
2010-08-09,108.31,81.55,1035364700
2010-08-16,107.53,80.96,978649500
2010-08-23,106.86,80.46,1213491400
2010-08-30,110.89,83.49,1066309300
2010-09-06,111.48,83.94,566735000
2010-09-13,112.49,85.15,952735300
2010-09-20,114.82,86.92,1086292800
2010-09-27,114.61,86.76,979380500
2010-10-04,116.54,88.22,887034000
2010-10-11,117.70,89.10,941124800
2010-10-18,118.35,89.59,951659200
2010-10-25,118.49,89.69,813034100
2010-11-01,122.72,92.90,954817000
2010-11-08,120.20,90.99,961202500
2010-11-15,120.29,91.06,990392500
2010-11-22,118.80,89.93,619723900
2010-11-29,122.89,93.02,1021112700
2010-12-06,124.48,94.23,688927500
2010-12-13,124.30,94.59,767995900
2010-12-20,125.60,95.58,362982800
2010-12-27,125.75,95.69,339304000
2011-01-03,127.14,96.75,688663800
2011-01-10,129.30,98.39,587344200
2011-01-17,128.37,97.68,593568300
2011-01-24,127.72,97.19,841489200
2011-01-31,131.15,99.80,715288600
2011-02-07,133.11,101.29,658367400
2011-02-14,134.53,102.37,591262500
2011-02-21,132.33,100.70,862818700
2011-02-28,132.47,100.80,1054110800
2011-03-07,130.84,99.56,1072125000
2011-03-14,127.76,97.64,1547968900
2011-03-21,131.30,100.35,746906900
2011-03-28,133.15,101.76,661783400
2011-04-04,132.86,101.54,660648900
2011-04-11,132.04,100.91,775858900
2011-04-18,133.78,102.24,627087300
2011-04-25,136.43,104.27,595273300
2011-05-02,134.20,102.56,897019400
2011-05-09,134.04,102.44,751471200
2011-05-16,133.61,102.11,771663900
2011-05-23,133.51,102.04,752721600
2011-05-30,130.42,99.67,832982500
2011-06-06,127.60,97.52,939901900
2011-06-13,127.05,97.58,1210445900
2011-06-20,126.81,97.40,1089755100
2011-06-27,133.92,102.86,1004464900
2011-07-04,134.40,103.23,673832300
2011-07-11,131.69,101.14,1060781500
2011-07-18,134.58,103.36,871838100
2011-07-25,129.33,99.33,1031930400
2011-08-01,120.08,92.23,2219616500
2011-08-08,118.12,90.72,2884411300
2011-08-15,112.64,86.51,1732344500
2011-08-22,117.97,90.61,1479958200
2011-08-29,117.85,90.51,1244224400
2011-09-05,115.92,89.03,1125697000
2011-09-12,121.52,93.82,1509003200
2011-09-19,113.54,87.66,1597854300
2011-09-26,113.15,87.35,1445625600
2011-10-03,115.71,89.33,1678881000
2011-10-10,122.57,94.63,1145235600
2011-10-17,123.97,95.71,1288845800
2011-10-24,128.60,99.28,1379992900
2011-10-31,125.48,96.87,1430006500
2011-11-07,126.66,97.78,1180816400
2011-11-14,121.98,94.17,1126550200
2011-11-21,116.34,89.82,769992600
2011-11-28,124.86,96.39,1132431500
2011-12-05,126.05,97.31,1091882700
2011-12-12,121.59,94.47,1119195300
2011-12-19,126.39,98.19,815204600
2011-12-26,125.50,97.50,424289000
2012-01-02,127.71,99.22,642829400
2012-01-09,128.84,100.10,625172800
2012-01-16,131.95,102.51,560163500
2012-01-23,131.82,102.41,751131900
2012-01-30,134.54,104.53,744447200
2012-02-06,134.36,104.39,699094400
2012-02-13,136.41,105.98,792803700
2012-02-20,136.93,106.38,501741000
2012-02-27,137.31,106.68,726681300
2012-03-05,137.57,106.88,726392800
2012-03-12,140.30,109.48,751269600
2012-03-19,139.65,108.97,625146900
2012-03-26,140.81,109.88,689045100
2012-04-02,139.79,109.08,591883200
2012-04-09,137.14,107.01,840617400
2012-04-16,137.95,107.65,761453400
2012-04-23,140.39,109.55,726597900
2012-04-30,137.00,106.90,712692400
2012-05-07,135.61,105.82,865528500
2012-05-14,129.74,101.24,1146413600
2012-05-21,132.10,103.08,883173900
2012-05-28,128.16,100.01,764680800
2012-06-04,133.10,103.86,879586100
2012-06-11,134.14,105.21,923971800
2012-06-18,133.46,104.68,810496700
2012-06-25,136.10,106.75,777590700
2012-07-02,135.49,106.27,487344100
2012-07-09,135.75,106.48,686624500
2012-07-16,136.47,107.04,622487000
2012-07-23,138.68,108.78,840929800
2012-07-30,139.35,109.30,723033300
2012-08-06,140.84,110.47,475710400
2012-08-13,142.18,111.52,455720100
2012-08-20,141.51,111.00,528027900
2012-08-27,141.16,110.72,458457100
2012-09-03,144.33,113.21,486431100
2012-09-10,147.24,115.49,658106600
2012-09-17,145.87,115.03,608820000
2012-09-24,143.97,113.53,637875800
2012-10-01,146.14,115.24,619770200
2012-10-08,142.89,112.68,599319200
2012-10-15,143.39,113.07,679092400
2012-10-22,141.35,111.46,718295200
2012-10-29,141.56,111.63,342136300
2012-11-05,138.16,108.95,852323700
2012-11-12,136.37,107.53,829813100
2012-11-19,141.35,111.46,418423200
2012-11-26,142.15,112.09,693511300
2012-12-03,142.41,112.30,611416000
2012-12-10,142.10,112.05,670707900
2012-12-17,142.79,113.40,886267200
2012-12-24,140.03,111.20,477549600
2012-12-31,146.37,116.24,697573700
2013-01-07,147.07,116.79,566665900
2013-01-14,148.33,117.80,591328800
2013-01-21,150.25,119.32,510031400
2013-01-28,151.24,120.11,596648600
2013-02-04,151.80,120.55,677372500
2013-02-11,152.11,120.80,517551100
2013-02-18,151.89,120.62,545293800
2013-02-25,152.11,120.80,880703700
2013-03-04,155.44,123.44,524491200
2013-03-11,155.83,124.30,546984500
2013-03-18,155.60,124.12,647799500
2013-03-25,156.67,124.97,441062300
2013-04-01,155.16,123.77,646416800
2013-04-08,158.80,126.67,550706900
2013-04-15,155.48,124.02,908872400
2013-04-22,158.24,126.22,596455400
2013-04-29,161.37,128.72,584067600
2013-05-06,163.41,130.35,464602100
2013-05-13,166.94,133.16,561277200
2013-05-20,165.31,131.86,787545500
2013-05-27,163.45,130.38,588687100
2013-06-03,164.80,131.46,926323300
2013-06-10,163.18,130.17,747319300
2013-06-17,159.07,127.56,1050353400
2013-06-24,160.42,128.64,809325800
2013-07-01,163.02,130.73,484451800
2013-07-08,167.51,134.33,588605500
2013-07-15,169.17,135.66,458478400
2013-07-22,169.11,135.61,492075500
2013-07-29,170.95,137.08,508848400
2013-08-05,169.31,135.77,420361400
2013-08-12,165.83,132.98,513028500
2013-08-19,166.62,133.61,537622800
2013-08-26,163.65,131.23,610563900
2013-09-02,166.04,133.15,462611500
2013-09-09,169.33,135.79,443889200
2013-09-16,170.72,137.57,671767100
2013-09-23,168.91,136.11,504544800
2013-09-30,168.89,136.09,658023000
2013-10-07,170.26,137.20,744278000
2013-10-14,174.39,140.52,696972000
2013-10-21,175.95,141.78,500226000
2013-10-28,176.21,141.99,588982000
2013-11-04,177.29,142.86,552563000
2013-11-11,180.05,145.09,456701000
2013-11-18,180.81,145.70,497733000
2013-11-25,181.00,145.85,281150900
2013-12-02,180.94,145.80,573984000
2013-12-09,178.11,143.52,505064000
2013-12-16,181.56,147.10,754605200
2013-12-23,183.85,148.95,256145800
2013-12-30,182.89,148.17,344004400
2014-01-06,184.14,149.19,483464500
2014-01-13,183.64,148.78,533573200
2014-01-20,178.89,144.93,491066100
2014-01-27,178.18,144.36,821519600
2014-02-03,179.68,145.57,887744800
2014-02-10,184.02,149.09,501791200
2014-02-17,183.89,148.98,430099700
2014-02-24,186.29,150.93,574548900
2014-03-03,188.26,152.52,620701300
2014-03-10,184.66,149.61,587706600
2014-03-17,186.20,151.52,656800400
2014-03-24,185.49,150.94,589131000
2014-03-31,186.40,151.68,514528000
2014-04-07,181.51,147.71,693927000
2014-04-14,186.39,151.68,499927000
2014-04-21,186.29,151.59,416538000
2014-04-28,188.06,153.04,511868000
2014-05-05,187.96,152.95,445134000
2014-05-12,188.05,153.03,478175000
2014-05-19,190.35,154.90,387217800
2014-05-26,192.68,156.79,279426000
2014-06-02,195.38,158.99,356031000
2014-06-09,194.13,157.97,379387000
2014-06-16,195.94,160.21,464041000
2014-06-23,195.82,160.11,405387100
2014-06-30,198.20,162.06,266085000
2014-07-07,196.61,160.76,406114000
2014-07-14,197.71,161.66,519679400
2014-07-21,197.72,161.67,334607000
2014-07-28,192.50,157.40,626687000
2014-08-04,193.24,158.00,591595000
2014-08-11,195.72,160.03,414545000
2014-08-18,199.19,162.87,351220000
2014-08-25,200.71,164.11,283264000
2014-09-01,201.11,164.44,317301000
2014-09-08,199.13,162.82,404171700
2014-09-15,200.70,164.87,560507000
2014-09-22,197.90,162.57,598069000
2014-09-29,196.52,161.44,683066000
2014-10-06,190.54,156.52,871766000
2014-10-13,188.47,154.82,1312517000
2014-10-20,196.43,161.36,709653000
2014-10-27,201.66,165.66,592480000
2014-11-03,203.34,167.04,475281000
2014-11-10,204.24,167.78,376714100
2014-11-17,206.68,169.78,454049700
2014-11-24,207.20,170.21,265047000
2014-12-01,208.00,170.87,429769700
2014-12-08,200.89,165.03,754967700
2014-12-15,206.52,170.59,1206138200
2014-12-22,208.44,172.17,370776900
2014-12-29,205.43,169.69,404984400
2015-01-05,204.25,168.71,809915800
2015-01-12,201.63,166.55,940434000
2015-01-19,204.97,169.31,545806600
2015-01-26,199.45,164.75,765883700
2015-02-02,205.55,169.79,645251800
2015-02-09,209.78,173.28,465687300
2015-02-16,211.24,174.49,389980000
2015-02-23,210.66,174.01,400719000
2015-03-02,207.50,171.40,577315400
2015-03-09,205.83,170.02,613490300
2015-03-16,210.41,174.58,755050500
2015-03-23,205.74,170.70,581117700
2015-03-30,206.44,171.28,447153600
2015-04-06,210.04,174.27,443228200
2015-04-13,207.95,172.54,509113900
2015-04-20,211.65,175.61,406927200
2015-04-27,210.72,174.83,556611100
2015-05-04,211.62,175.58,563435800
2015-05-11,212.44,176.26,462547700
2015-05-18,212.99,176.72,345719900
2015-05-25,211.14,175.18,417416800
2015-06-01,209.77,174.05,546278200
2015-06-08,210.01,174.25,537908100
2015-06-15,210.81,175.76,632747600
2015-06-22,209.82,174.93,432762300
