date,close,adj_close,volume
2014-06-23,5.00,5.00,34000
2014-06-30,5.00,5.00,4800
2014-07-07,4.87,4.87,5000
2014-07-14,4.80,4.80,3000
2014-07-21,5.25,5.25,7700
2014-07-28,4.99,4.99,5700
2014-08-04,4.93,4.93,2000
2014-08-11,5.00,5.00,200
2014-08-18,5.15,5.15,9700
2014-08-25,5.14,5.14,5800
2014-09-01,5.07,5.07,200
2014-09-08,5.23,5.23,113500
2014-09-15,5.25,5.25,18600
2014-09-22,5.41,5.41,27900
2014-09-29,5.20,5.20,26000
2014-10-06,5.25,5.25,29800
2014-10-13,5.15,5.15,24600
2014-10-20,5.15,5.15,0
2014-10-27,5.00,5.00,57500
2014-11-03,4.95,4.95,2500
2014-11-10,4.95,4.95,1300
2014-11-17,4.90,4.90,5600
2014-11-24,4.80,4.80,1000
2014-12-01,4.80,4.80,0
2014-12-08,4.75,4.75,30300
2014-12-15,4.75,4.75,66700
2014-12-22,4.90,4.90,15800
2014-12-29,4.85,4.85,200
2015-01-05,4.75,4.75,51700
2015-01-12,4.60,4.60,1100
2015-01-19,4.80,4.80,12100
2015-01-26,4.71,4.71,25500
2015-02-02,5.00,5.00,465200
2015-02-09,4.75,4.75,121700
2015-02-16,4.70,4.70,83300
2015-02-23,4.70,4.70,1845100
2015-03-02,4.70,4.70,4500
2015-03-09,4.70,4.70,0
2015-03-16,5.00,5.00,5900
2015-03-23,5.00,5.00,300
2015-03-30,5.00,5.00,17600
2015-04-06,5.00,5.00,23400
2015-04-13,4.90,4.90,67200
2015-04-20,4.90,4.90,9200
2015-04-27,4.89,4.89,2100
2015-05-04,4.90,4.90,19500
2015-05-11,4.94,4.94,38000
2015-05-18,4.90,4.90,46200
2015-05-25,4.90,4.90,11200
2015-06-01,4.90,4.90,3600
2015-06-08,4.95,4.95,20500
2015-06-15,4.00,4.00,299400
2015-06-22,4.10,4.10,233500
2015-06-29,4.01,4.01,46600
2015-07-06,4.22,4.22,66500
2015-07-13,4.24,4.24,9000
2015-07-20,4.05,4.05,16600
2015-07-27,4.09,4.09,10400
2015-08-03,3.99,3.99,4700
2015-08-10,3.57,3.57,5400
2015-08-17,3.25,3.25,127300
2015-08-24,3.15,3.15,168800
2015-08-31,3.53,3.53,68900
2015-09-07,4.29,4.29,77700
2015-09-14,3.81,3.81,151100
2015-09-21,3.56,3.56,16000
2015-09-28,3.52,3.52,7200
2015-10-05,3.63,3.63,23900
