date,close,adj_close,volume
2009-11-30,10.69,8.08,5000800
2009-12-07,10.83,8.18,2435700
2009-12-14,11.39,8.61,3619700
2009-12-21,11.83,8.94,1643500
2009-12-28,11.23,8.48,1435800
2010-01-04,10.98,8.30,5654200
2010-01-11,11.27,8.51,6357800
2010-01-18,11.81,8.92,4472100
2010-01-25,11.63,8.79,5166100
2010-02-01,12.18,9.20,5905000
2010-02-08,12.58,9.50,4165500
2010-02-15,13.06,9.87,3674900
2010-02-22,13.43,10.15,8791400
2010-03-01,14.13,10.68,6283600
2010-03-08,14.15,10.69,6834600
2010-03-15,14.05,10.62,4678800
2010-03-22,14.06,10.62,3559700
2010-03-29,13.92,10.52,1703800
2010-04-05,15.02,11.35,4714300
2010-04-12,15.42,11.65,3712800
2010-04-19,15.96,12.06,3978700
2010-04-26,14.78,11.17,6572600
2010-05-03,13.66,10.32,5836500
2010-05-10,14.76,11.15,4068200
2010-05-17,13.93,10.52,4555500
2010-05-24,14.60,11.03,4693900
2010-05-31,14.25,10.77,3875300
2010-06-07,13.97,10.55,3446700
2010-06-14,14.71,11.11,2291900
2010-06-21,13.34,10.08,4462700
2010-06-28,12.50,9.44,4005700
2010-07-05,12.85,9.71,2422600
2010-07-12,12.62,9.53,2720500
2010-07-19,13.64,10.31,2901900
2010-07-26,13.48,10.18,2579400
2010-08-02,14.21,10.74,6304000
2010-08-09,13.11,9.91,2571500
2010-08-16,13.30,10.05,2475100
2010-08-23,13.62,10.29,2204900
2010-08-30,14.60,11.03,2900700
2010-09-06,14.16,10.70,1506100
2010-09-13,14.24,10.76,3762700
2010-09-20,14.03,10.60,3185800
2010-09-27,14.17,10.71,3391600
2010-10-04,15.02,11.35,4373600
2010-10-11,15.34,11.59,5314700
2010-10-18,15.80,11.94,3569500
2010-10-25,15.39,11.63,2404700
2010-11-01,16.06,12.13,5322900
2010-11-08,15.94,12.04,5305400
2010-11-15,16.26,12.28,3924200
2010-11-22,17.03,12.87,2811700
2010-11-29,17.80,13.45,4701800
2010-12-06,18.06,13.64,2569600
2010-12-13,17.70,13.37,3581300
2010-12-20,17.46,13.19,2417100
2010-12-27,17.17,12.97,1644500
2011-01-03,17.36,13.12,3110100
2011-01-10,18.45,13.94,3349000
2011-01-17,17.55,13.26,2186100
2011-01-24,16.81,12.70,5114600
2011-01-31,17.61,13.30,5099900
2011-02-07,18.16,13.72,2718700
2011-02-14,18.33,13.85,2816600
2011-02-21,17.04,12.87,4421400
2011-02-28,16.93,12.79,6016100
2011-03-07,16.80,12.69,5318800
2011-03-14,16.12,12.24,2804200
2011-03-21,16.40,12.45,2925900
2011-03-28,17.05,12.94,4108600
2011-04-04,16.38,12.43,2539000
2011-04-11,16.59,12.59,3699900
2011-04-18,16.39,12.44,1547700
2011-04-25,16.27,12.35,3176700
2011-05-02,16.06,12.19,8362700
2011-05-09,16.51,12.53,3383800
2011-05-16,16.60,12.60,3052100
2011-05-23,16.90,12.83,2997400
2011-05-30,16.40,12.45,3588500
2011-06-06,15.96,12.12,4663000
2011-06-13,15.85,12.09,4367000
2011-06-20,17.36,13.25,5962100
2011-06-27,18.05,13.77,4043900
2011-07-04,18.28,13.95,2622000
2011-07-11,17.96,13.70,2218000
