date,close,adj_close,volume
2009-11-30,4.12,2.59,21757400
2009-12-07,3.98,2.50,18702900
2009-12-14,4.34,2.73,33441600
2009-12-21,4.67,2.93,17498700
2009-12-28,4.69,2.95,20713500
2010-01-04,4.51,2.83,35898100
2010-01-11,4.65,2.92,33209500
2010-01-18,4.80,3.01,23763000
2010-01-25,4.61,2.90,24606100
2010-02-01,4.53,2.85,12752700
2010-02-08,4.77,3.00,20126100
2010-02-15,4.90,3.08,14835600
2010-02-22,4.88,3.07,15853000
2010-03-01,4.53,2.85,55523900
2010-03-08,4.90,3.09,27732000
2010-03-15,4.71,2.97,30548700
2010-03-22,4.80,3.02,28380100
2010-03-29,5.05,3.18,32626500
2010-04-05,5.24,3.30,26585100
2010-04-12,5.32,3.35,25277100
2010-04-19,5.50,3.47,19982000
2010-04-26,5.31,3.35,23823700
2010-05-03,4.72,2.97,25974500
2010-05-10,4.80,3.02,40408100
2010-05-17,4.31,2.72,36496900
2010-05-24,4.51,2.85,25525200
2010-05-31,4.30,2.72,14134800
2010-06-07,4.65,2.94,54744400
2010-06-14,4.31,2.72,31442000
2010-06-21,4.17,2.64,53315400
2010-06-28,4.00,2.53,21883600
2010-07-05,4.19,2.65,21832500
2010-07-12,4.07,2.57,19911400
2010-07-19,4.29,2.71,21201800
2010-07-26,4.36,2.76,17118000
2010-08-02,4.35,2.75,17966200
2010-08-09,4.06,2.57,21238200
2010-08-16,4.11,2.60,12498400
2010-08-23,4.03,2.55,15274000
2010-08-30,4.34,2.75,37581800
2010-09-06,4.69,2.98,20803800
2010-09-13,4.53,2.87,17760100
2010-09-20,4.40,2.79,13532300
2010-09-27,4.42,2.80,20219400
2010-10-04,4.35,2.76,13738800
2010-10-11,4.90,3.11,32098300
2010-10-18,4.89,3.10,19336400
2010-10-25,4.60,2.92,13392100
2010-11-01,5.01,3.18,19748800
2010-11-08,4.97,3.15,39468600
2010-11-15,4.75,3.01,19886300
2010-11-22,4.89,3.10,11918800
2010-11-29,4.86,3.10,17568400
2010-12-06,4.89,3.12,16563800
2010-12-13,4.72,3.01,19083900
2010-12-20,4.68,2.98,13705200
2010-12-27,4.62,2.94,9505800
2011-01-03,4.56,2.91,23955200
2011-01-10,4.49,2.86,22749900
2011-01-17,4.78,3.05,45159800
2011-01-24,4.73,3.01,32900400
2011-01-31,5.03,3.20,77399600
2011-02-07,4.85,3.09,22458300
2011-02-14,4.87,3.10,24706400
2011-02-21,4.86,3.11,27023100
2011-02-28,5.01,3.21,42482000
2011-03-07,5.02,3.21,15616000
2011-03-14,4.90,3.13,24277600
2011-03-21,4.99,3.19,18430600
2011-03-28,5.09,3.26,23368100
2011-04-04,4.95,3.17,16186600
2011-04-11,4.84,3.10,25326700
2011-04-18,4.68,2.99,16991100
2011-04-25,4.82,3.08,10947200
2011-05-02,4.91,3.14,21255000
2011-05-09,4.95,3.17,48243100
2011-05-16,4.98,3.19,23585400
2011-05-23,4.95,3.18,20638700
2011-05-30,4.72,3.03,21882300
2011-06-06,4.52,2.90,17033900
2011-06-13,4.97,3.19,40402700
2011-06-20,5.00,3.21,23752900
2011-06-27,5.19,3.33,27354000
2011-07-04,5.51,3.54,29421100
2011-07-11,5.32,3.42,23417800
2011-07-18,5.52,3.55,22009800
2011-07-25,5.27,3.39,19461600
2011-08-01,4.89,3.14,26366600
2011-08-08,4.99,3.21,47364300
2011-08-15,4.57,2.94,21057400
2011-08-22,4.75,3.05,14717200
2011-08-29,4.87,3.14,26267200
2011-09-05,4.82,3.11,15568100
2011-09-12,4.89,3.15,18042700
2011-09-19,4.88,3.15,22661400
2011-09-26,4.59,2.96,20672000
2011-10-03,4.52,2.92,35066600
2011-10-10,4.73,3.05,22799700
2011-10-17,4.65,3.00,22853600
2011-10-24,5.09,3.28,31195600
2011-10-31,5.50,3.55,50264400
2011-11-07,5.26,3.39,37222500
2011-11-14,5.22,3.37,22264100
2011-11-21,4.87,3.14,15215200
2011-11-28,5.07,3.28,33294400
2011-12-05,5.26,3.41,27630100
2011-12-12,5.11,3.31,34657700
2011-12-19,5.34,3.46,17066500
2011-12-26,5.36,3.47,7086900
2012-01-02,5.43,3.52,14901800
2012-01-09,5.38,3.48,14140100
2012-01-16,5.25,3.40,8551900
2012-01-23,5.21,3.37,25866500
2012-01-30,4.83,3.13,46827400
2012-02-06,5.21,3.37,36341300
2012-02-13,5.19,3.36,17801900
2012-02-20,5.07,3.28,12035200
2012-02-27,5.00,3.25,38156200
2012-03-05,4.89,3.18,24835800
2012-03-12,5.04,3.28,21255200
2012-03-19,4.93,3.21,15082200
2012-03-26,5.01,3.26,16549800
2012-04-02,4.99,3.24,22116700
2012-04-09,4.95,3.22,22349700
2012-04-16,4.81,3.13,11748900
2012-04-23,4.84,3.15,12498500
2012-04-30,4.81,3.13,11718600
2012-05-07,4.48,2.91,34847200
2012-05-14,4.49,2.92,17140800
2012-05-21,4.63,3.01,19521600
2012-05-28,4.67,3.05,17108300
2012-06-04,4.52,2.95,11985600
2012-06-11,4.51,2.95,10754400
2012-06-18,4.54,2.96,9461800
2012-06-25,4.72,3.08,14761400
2012-07-02,4.76,3.11,7565300
2012-07-09,4.77,3.12,11953400
2012-07-16,4.62,3.02,9104300
2012-07-23,4.55,2.97,9469400
2012-07-30,4.49,2.93,7483000
2012-08-06,4.45,2.91,12524800
2012-08-13,4.37,2.85,14105100
2012-08-20,4.37,2.85,15610200
2012-08-27,4.27,2.80,8426000
2012-09-03,4.45,2.92,10292100
2012-09-10,4.58,3.00,10770200
2012-09-17,4.57,3.00,17061800
2012-09-24,4.53,2.97,16741000
2012-10-01,4.20,2.76,17823500
2012-10-08,4.21,2.76,14456200
2012-10-15,4.19,2.75,7107200
2012-10-22,4.16,2.73,10524300
2012-10-29,4.31,2.83,8268200
2012-11-05,4.45,2.92,24755800
2012-11-12,4.43,2.91,19180700
2012-11-19,4.69,3.08,7992400
2012-11-26,4.66,3.08,12890400
2012-12-03,4.71,3.12,14768300
2012-12-10,4.71,3.12,15548300
2012-12-17,4.76,3.15,15684000
2012-12-24,4.73,3.13,7722700
2012-12-31,4.76,3.15,15998800
2013-01-07,4.82,3.19,11273900
2013-01-14,5.10,3.37,20573900
2013-01-21,5.17,3.42,10740300
2013-01-28,5.13,3.39,11210200
2013-02-04,5.02,3.32,12653000
2013-02-11,5.27,3.49,33187900
2013-02-18,5.49,3.63,31913300
2013-02-25,5.51,3.67,41689400
2013-03-04,5.51,3.67,20793400
2013-03-11,5.52,3.68,14644300
2013-03-18,5.61,3.74,17972300
2013-03-25,5.68,3.79,14224300
2013-04-01,5.54,3.69,16329000
2013-04-08,5.75,3.83,18803000
2013-04-15,5.40,3.60,25315900
2013-04-22,5.70,3.80,12462300
2013-04-29,5.90,3.93,14168400
2013-05-06,5.78,3.85,39075200
2013-05-13,6.04,4.03,24313300
2013-05-20,6.08,4.05,17448300
2013-05-27,5.95,3.99,11721200
2013-06-03,5.87,3.94,27804000
2013-06-10,5.96,4.00,15237000
2013-06-17,5.72,3.84,14353700
2013-06-24,5.83,3.91,13936300
2013-07-01,5.93,3.98,6496400
2013-07-08,6.48,4.35,26363300
2013-07-15,6.69,4.49,30730700
2013-07-22,7.14,4.79,60655200
2013-07-29,7.33,4.92,29985300
2013-08-05,7.91,5.31,37454900
2013-08-12,7.78,5.22,37199300
2013-08-19,7.95,5.33,19468400
2013-08-26,7.56,5.11,30267400
2013-09-02,7.84,5.29,22937500
2013-09-09,8.58,5.79,38433900
2013-09-16,8.41,5.68,38350100
